date,open,high,low,close,volume,ma_short,ma_medium,ma_long,bias_short,bias_medium,bias_long,bias_short_change,bias_medium_change,oversold,overbought,price_new_high,price_new_low,bias_new_high,bias_new_low,bearish_divergence,bullish_divergence,signal,volatility,dynamic_buy_threshold,dynamic_sell_threshold,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4144.310726594072,4170.856852569921,4139.868566120449,4139.868566120449,31864581,,,,,,,,,False,False,False,False,False,False,False,False,0,,,,0,,0.0,0.0,,,
2021-04-05,4131.9762467079045,4178.218934255133,4109.508451726695,4139.414509508213,14084032,,,,,,,,,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.00010967899221536737,1.0,0.9998903210077846
2021-04-06,4170.613938533068,4196.475490767972,4126.610427107917,4170.378886325699,44777477,,,,,,,,,False,False,False,False,False,False,False,False,0,,,,0,0.0,0.0,0.0,0.007480375967751085,1.0,1.0073698765354382
2021-04-07,4236.257736395537,4236.334998644809,4221.680567700902,4236.334998644809,38070760,,,,,,,,,False,False,False,False,False,False,False,False,0,,,,0,0.0,0.0,0.0,0.01581537652019449,1.0,1.0233018104279479
2021-04-08,4241.170608373408,4241.170608373408,4217.433570987721,4231.979632538082,13554382,,,,,,,,,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.0010280976618044502,1.0,1.0222497562293267
2021-04-09,4231.612215572148,4240.14349658296,4226.506129113925,4227.598548451596,17297881,4190.929190264808,,,0.8749696432945597,,,,,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.0010352327910091441,1.0,1.021191489761077
2021-04-12,4295.507845042053,4321.471305134975,4295.507845042053,4295.722862799789,38854322,4216.904906378032,,,1.869094944553899,,,0.9941253012593392,,False,False,False,False,False,False,False,False,0,,,,0,0.0,0.0,0.0,0.01611418718391433,1.0,1.0376471605777073
2021-04-13,4338.429308844158,4358.813355260527,4317.064478414667,4331.345252488785,47912279,4248.8933635414605,,,1.940549735957622,,,0.07145479140372313,,False,False,False,False,False,False,False,False,0,,,,0,0.0,0.0,0.0,0.00829252510618872,1.0,1.0462518757081634
2021-04-14,4329.462604130359,4329.462604130359,4317.458277949215,4317.458277949215,26562351,4273.406595478713,,,1.0308329312054882,,,-0.9097168047521338,,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.0032061573783782604,1.0,1.0428974275372196
2021-04-15,4348.863769610305,4358.830497291856,4335.8558399347185,4344.017494151884,48120293,4291.353678063225,,,1.2272075442737183,,,0.19637461306823,,False,False,False,False,False,False,False,False,0,,,,0,0.0,0.0,0.0,0.006151586070516801,1.0,1.0493129008254354
2021-04-16,4330.389900436801,4353.191948484483,4309.808685899366,4330.300240532405,10499964,4307.740446062279,,,0.5237036621077709,,,-0.7035038821659474,,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.0031577344331477075,1.0,1.0459994493473528
2021-04-19,4305.126030754896,4360.820265778131,4268.720373827005,4316.450984347758,12997493,4322.549185378306,4256.739187821558,,-0.1410788118079954,1.4027591048339232,,-0.6647824739157663,,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.0031982207734732038,1.0,1.0426541121794086
2021-04-20,4321.642011874279,4359.115971170283,4312.187423234028,4330.867744689963,16638784,4328.406665693335,4272.655786035683,,0.056858774757338595,1.3624303376961358,,0.197937586565334,-0.040328767137787436,False,False,False,False,False,False,False,False,0,,,,0,0.0,0.0,0.0,0.0033399569216661096,1.0,1.0461365319982858
2021-04-21,4256.43108928071,4288.611189790293,4239.090507043978,4259.031012243809,35171259,4316.354292319173,4282.623827930316,,-1.3280485380305573,-0.5508962877533259,,-1.384907312787896,-1.9133266254494616,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.016587145274577497,1.0,1.0287841133649875
2021-04-22,4189.56945362333,4209.025053641843,4189.56945362333,4194.68287441562,26916781,4295.891725063573,4284.649160271143,,-2.355945101164191,-2.099735182281055,,-1.0278965631336336,-1.5488388945277292,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.015108633311943787,1.0,1.0132405914390028
2021-04-23,4175.230075825834,4218.778304225294,4173.9200698302875,4176.791956294569,29720121,4268.020802087353,4279.68724007529,,-2.137497683895243,-2.404271106944507,,0.21844741726894812,-0.30453592466345203,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.004265142003981315,1.0,1.0089189764323174
2021-04-26,4141.298387282684,4161.735508466918,4103.9889135862295,4140.829231952681,46982693,4236.4423006574,4272.09137335984,,-2.256918940920827,-3.0725499511946612,,-0.11942125702558393,-0.6682788442501542,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.00861013062613547,1.0,1.0002320522540482
2021-04-27,4162.302351014266,4162.302351014266,4149.0049224584445,4157.897534619374,33100170,4210.01672570267,4266.282955540488,,-1.2379806181078041,-2.540511776893684,,1.0189383228130227,0.5320381743009772,False,False,False,False,False,False,False,False,0,,,,0,0.0,0.0,0.0,0.004121952804763129,1.0,1.0043549615672507
2021-04-28,4125.439085295443,4167.350575427374,4125.439085295443,4126.020844150961,18190219,4175.875575612836,4252.141120653086,,-1.1938749265669397,-2.966041646396571,,0.04410569154086441,-0.42552986950288707,False,False,False,False,False,False,False,False,0,,,,0,-0.0,0.0,0.0,-0.007666540650172804,1.0,0.9966550334271926
2021-04-29,4077.880764632354,4100.354580092585,4073.9168301629825,4073.9168301629825,48636713,4145.023211932697,4230.688752125935,,-1.7154640187541976,-3.7055886440280945,,-0.5215890921872579,-0.7395469976315234,False,False,False,True,False,False,False,True,0,,,,0,-0.0,0.0,0.0,-0.012628150936716986,1.0,0.9840691232332354
2021-04-30,4137.406244935592,4140.119334628719,4136.872800029741,4136.872800029741,48308849,4135.388199535051,4215.639962299312,,0.035899906443035236,-1.8684508870299747,,1.7513639251972328,1.8371377569981198,False,False,False,False,False,False,False,False,0,0.15390501381677882,-2.7831874516634922,3.7831874516634922,0,0.0,0.0,0.0,0.015453425411298793,1.0,0.9992763620286824
2021-05-03,4115.786005041522,4134.601444671251,4115.786005041522,4132.111702073293,12627014,4127.941490498172,4197.981146292763,,0.10102399912207026,-1.5690743222522427,,0.06512409267903502,0.299376564777732,False,False,False,False,False,False,False,False,0,0.15395997948873155,-2.7837371083830194,3.7837371083830194,0,-0.0,0.0,0.0,-0.0011508930021763009,1.0,0.9981263018563834
2021-05-04,4131.244939257479,4157.575520853527,4127.847220234062,4139.020796717697,34772234,4127.640084625675,4182.041192641537,,0.2757195845251121,-1.0286937393045452,,0.1746955854030418,0.5403805829476975,False,False,False,False,False,False,False,False,0,0.15155694138240486,-2.7597067273197524,3.7597067273197524,0,0.0,0.0,0.0,0.0016720493400352865,1.0,0.9997952182806742
2021-05-05,4084.99742030993,4107.89674964346,4081.84998332499,4086.1749542327425,32713635,4115.686321227903,4162.851523465286,4209.795355643421,-0.717046069399089,-1.8419241906738846,-2.9364943178285396,-0.9927656539242011,-0.8132304513693394,False,False,False,False,False,False,False,False,0,0.14497950819092778,-2.693932395404982,3.693932395404982,0,-0.0,0.0,0.0,-0.01276771610494487,1.0,0.9870301167705852
2021-05-06,4058.634751772556,4084.6968147814887,4058.634751772556,4068.477984631302,20528542,4106.095844641292,4140.9857101270645,4206.8207480813735,-0.9161466617756573,-1.7509774380152943,-3.2885347804078884,-0.1991005923765683,0.09094675265859031,False,False,False,True,False,False,False,True,0,0.1452312076431843,-2.696449389927547,3.696449389927547,0,-0.0,0.0,0.0,-0.004330937808501911,1.0,0.9827553507197334
2021-05-07,4081.817378482693,4095.502337352909,4037.526700102801,4076.9256488291107,44002060,4106.59731441898,4125.810263175839,4204.217045553079,-0.7225365264251029,-1.1848488231036503,-3.027707545656037,0.19361013535055438,0.566128614911644,False,False,False,False,False,False,False,False,0,0.14590344364688676,-2.7031717499645715,3.7031717499645715,0,0.0,0.0,0.0,0.002076369647253662,1.0,0.984795914100644
2021-05-10,4047.17991683513,4081.2269402434194,4015.6731678600563,4034.827286381148,48857873,4089.589728810882,4112.488964172967,4198.5690622220545,-1.339069345854829,-1.8884349227046948,-3.8999424188165586,-0.6165328194297262,-0.7035860996010446,False,False,False,True,False,False,False,True,0,0.13248041456090145,-2.5689414591047184,3.5689414591047184,0,-0.0,0.0,0.0,-0.010326006916523855,1.0,0.9746269046802764
