date,open,high,low,close,volume,k_5,d_5,j_5,k_9,d_9,j_9,k_14,d_14,j_14,ma20,ma50,signal,position,strategy_returns,stop_loss_level,take_profit_level,returns,cumulative_returns,benchmark_returns
2021-04-02,4144.310726594072,4170.856852569921,4139.868566120449,4139.868566120449,4187436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,,0.0,0.0,,,
2021-04-05,4133.245271007885,4179.502160740869,4110.770575653562,4140.6858182686265,2950500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.00019741016776841924,1.0,1.0001974101677684
2021-04-06,4173.156138781544,4199.033454941253,4129.125804989392,4172.92094329796,1893061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.007784972452416605,1.0,1.007983919452903
2021-04-07,4240.069351290876,4240.146683057623,4225.479066644195,4240.146683057623,2223045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.01610999601313634,1.0,1.0242225363765949
2021-04-08,4246.261271782912,4246.261271782912,4222.49574290777,4237.059264048919,1647601,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,-0.0,0.0,0.0,-0.0007281396705071108,1.0,1.0234767593164316
2021-04-09,4237.963579487054,4246.5076653740225,4232.849829138186,4233.943888123444,3904936,63.58134506531389,54.527115021771294,81.68980515239909,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,-0.0,0.0,0.0,-0.0007352684329694492,1.0,1.0227242291634284
2021-04-12,4303.11571582209,4329.1251603844885,4303.11571582209,4303.331114402624,2936983,71.42187519071338,60.15870174475199,93.94822208263618,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.016388319758751768,1.0,1.0394849608559815
2021-04-13,4347.311624075353,4367.737403919437,4325.903052202767,4340.213064124973,2404568,74.63101028944786,64.98280459298394,93.9274216823757,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.00857055818895991,1.0,1.0483939271995464
2021-04-14,4339.614217620929,4339.614217620929,4327.581744001926,4327.581744001926,1760956,73.8715133570077,67.94570751432519,85.72312504237271,50.0,50.0,50.0,0.0,0.0,0.0,,,0,0,-0.0,0.0,0.0,-0.0029102995489908023,1.0,1.0453427868260528
2021-04-15,4360.251122822753,4370.243948044833,4347.209132321713,4355.392157555377,4554382,78.9778002162545,71.62307174830161,93.68725715216027,64.75872644752405,54.91957548250801,84.43702837755615,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0064263173288399145,1.0,1.0520604912916107
2021-04-16,4343.011016585071,4365.8795222274375,4322.369817172112,4342.921095362851,4103577,72.41770810827018,71.8879505349578,73.47722325489494,72.72857488866498,60.85590861789366,96.47390743020762,0.0,0.0,0.0,,,0,0,-0.0,0.0,0.0,-0.0028633614933829543,1.0,1.0490480617921367
2021-04-19,4318.951157119118,4374.82424401137,4282.42859006971,4330.312478733118,3928583,65.55341471311243,69.77643859434266,57.107366950651965,72.07874854733683,64.59685526104138,87.04253511992772,0.0,0.0,0.0,,,0,0,-0.0,0.0,0.0,-0.0029032571287550546,1.0,1.0460024055283321
2021-04-20,4336.705893225994,4374.310474927801,4327.218348870967,4345.963784037212,4688498,66.6236987346626,68.72552530778263,62.42004558842254,75.07043291237724,68.08804781148666,89.0352031141584,0.0,0.0,0.0,,,0,0,0.0,0.0,0.0,0.0036143593287920606,1.0,1.0497830340806924
2021-04-21,4272.745074872584,4305.048514791416,4255.338029910899,4275.3549627816365,1163543,49.999967177115565,62.48367259756027,25.03255633622615,60.02648425822538,65.40085996039957,49.27773285387701,50.0,50.0,50.0,,,0,0,-0.0,0.0,0.0,-0.016246987955795267,1.0,1.0327272217697852
2021-04-22,4207.092758849774,4226.629733916789,4207.092758849774,4212.227567050552,4979439,34.3537535776717,53.107032924264075,-3.152805115513061,41.03809829841157,57.279939406403564,8.55441608242758,46.14095586804598,48.71365195601532,40.9955636921073,,,0,0,-0.0,0.0,0.0,-0.014765416270842713,1.0,1.0174785744461234
2021-04-23,4193.980795993409,4237.724597003164,4192.664906835643,4195.549690778259,1371557,23.43038893896764,43.21481826249859,-16.138469708094263,27.88661875279422,47.48216585520044,-11.304475452018224,39.77221068111343,45.733171531048015,27.850288981244262,,,0,0,-0.0,0.0,0.0,-0.003959395831971024,1.0,1.0134499740193417
2021-04-26,4161.2631984418085,4181.798845070703,4123.7738592715,4160.791781357956,1499964,20.545410584334768,35.65834903644398,-9.680466319883656,23.50615124656572,39.490160985655535,-8.461868231613906,31.429879198778526,40.96540742029151,12.358822755752556,,,0,0,-0.0,0.0,0.0,-0.00828447092325002,1.0,1.00505407717741
2021-04-27,4183.483381647976,4183.483381647976,4170.118285436652,4179.056150122436,3151365,23.862415662861082,31.72637124524968,8.134504498083885,23.010899759502863,33.99707391027131,1.0385514579659656,28.293385060978064,36.74139996718703,11.397355248560132,,,0,0,0.0,0.0,0.0,0.004389637771904598,1.0,1.0094659005173945
2021-04-28,4147.781350612392,4189.919822069945,4147.781350612392,4148.366260116952,3997493,23.102146241556376,28.851629577351908,11.60317956996532,18.605867469900534,28.86667176348105,-1.9157411172604952,22.127524337550668,31.870108090641573,2.6423568313688577,,,0,0,-0.0,0.0,0.0,-0.007343737174860587,1.0,1.0020526482570107
2021-04-29,4101.426091412179,4124.029668716746,4097.4392695319675,4097.4392695319675,1799458,15.40143082770425,24.368229994136023,-2.5321675051592933,12.403911646600356,23.37908505785415,-9.546435175907234,14.751682891700444,26.163966357661195,-8.072884040221055,4238.956314143743,,0,0,-0.0,0.0,0.0,-0.012276396873295514,1.0,0.9897510522590708
2021-04-30,4162.098608546697,4164.82789017101,4161.561979999983,4161.561979999983,4384425,33.37976276558811,27.37207425128672,45.3951397941909,15.989194887263801,20.915788334324034,6.136007993143338,17.54007697434544,23.28933656322261,6.0415577965911,4240.040984837719,,0,0,0.0,0.0,0.0,0.015649459638077845,1.0,1.0052401214031441
2021-05-03,4141.5290306346615,4160.462155280896,4141.5290306346615,4157.9568400784965,3444480,44.06589467527502,32.93668105928282,66.32432190725942,20.376045720724747,20.735874129790936,19.65638890259237,18.96577694599913,21.848150024148115,13.201030789701164,4240.904535928213,,0,0,-0.0,0.0,0.0,-0.0008662949005235898,1.0,1.0043692870121708
2021-05-04,4158.184054248189,4184.686332893387,4154.764179302084,4166.010616694761,1005435,54.09285476682919,39.988738961798276,82.30108637689102,29.877335085431387,23.783027781671088,42.06594969295199,20.884065376638755,21.52678847497833,19.598619179959606,4240.559019598053,,0,0,0.0,0.0,0.0,0.0019369553186878719,1.0,1.0063147054445758
2021-05-05,4113.112054980144,4136.168986929334,4109.942956037588,4114.297693176386,1139565,42.502778471144914,40.826752131580484,45.85483115027377,23.923969856747753,23.830008473363307,24.11189262351664,15.948585862663087,19.66738760420658,8.510982379576099,4234.266570103991,,0,0,-0.0,0.0,0.0,-0.012413056104836007,1.0,0.9938232645467707
