date,open,high,low,close,volume,ma,dif,dea,macd_hist,price_above_ma,price_below_ma,signal,position,capital,shares,total_value,daily_return,cumulative_return
2021-04-02,4144.310726594072,4170.856852569921,4139.868566120449,4139.868566120449,4187436,,0.0,0.0,0.0,False,False,0,0,100000.0,0.0,100000.0,,
2021-04-05,4133.245271007885,4179.502160740869,4110.770575653562,4140.6858182686265,2950500,,0.06519390355697396,0.013038780711394794,0.052155122845579174,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-06,4173.156138781544,4199.033454941253,4129.125804989392,4172.92094329796,1893061,,2.6869917630601776,0.5478293771811513,2.1391623858790263,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-07,4240.069351290876,4240.146683057623,4225.479066644195,4240.146683057623,2223045,,10.073222981241997,2.452908097993321,7.6203148832486765,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-08,4246.261271782912,4246.261271782912,4222.49574290777,4237.059264048919,1647601,,15.499071872498462,5.062140852894349,10.436931019604113,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-09,4237.963579487054,4246.5076653740225,4232.849829138186,4233.943888123444,3904936,,19.324945467063117,7.914701775728103,11.410243691335014,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-12,4303.11571582209,4329.1251603844885,4303.11571582209,4303.331114402624,2936983,,27.637360830181024,11.859233586618688,15.778127243562336,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-13,4347.311624075353,4367.737403919437,4325.903052202767,4340.213064124973,2404568,,36.777131125801134,16.842813094455177,19.934318031345956,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-14,4339.614217620929,4339.614217620929,4327.581744001926,4327.581744001926,1760956,,42.51118053704613,21.97648658297337,20.53469395407276,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-15,4360.251122822753,4370.243948044833,4347.209132321713,4355.392157555377,4554382,,48.737706022632665,27.32873047090523,21.408975551727433,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-16,4343.011016585071,4365.8795222274375,4322.369817172112,4342.921095362851,4103577,,52.0657799344699,32.27614036361817,19.789639570851733,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-19,4318.951157119118,4374.82424401137,4282.42859006971,4330.312478733118,3928583,,53.07408745693374,36.435729782281285,16.638357674652454,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-20,4336.705893225994,4374.310474927801,4327.218348870967,4345.963784037212,4688498,,54.50777625284354,40.050139076393734,14.457637176449808,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-21,4272.745074872584,4305.048514791416,4255.338029910899,4275.3549627816365,1163543,,49.37725294431948,41.915561849978886,7.461691094340594,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-22,4207.092758849774,4226.629733916789,4207.092758849774,4212.227567050552,4979439,,39.759104790212405,41.48427043802559,-1.725165647813185,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-23,4193.980795993409,4237.724597003164,4192.664906835643,4195.549690778259,1371557,,30.43999454187906,39.275415258796286,-8.835420716917227,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-26,4161.2631984418085,4181.798845070703,4123.7738592715,4160.791781357956,1499964,,20.01909209108817,35.42415062525467,-15.4050585341665,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-27,4183.483381647976,4183.483381647976,4170.118285436652,4179.056150122436,3151365,,13.083416259389196,30.95600375208158,-17.872587492692382,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-28,4147.781350612392,4189.919822069945,4147.781350612392,4148.366260116952,3997493,,5.052187088709616,25.775240419407186,-20.72305333069757,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-29,4101.426091412179,4124.029668716746,4097.4392695319675,4097.4392695319675,1799458,,-5.3602132151963815,19.548149692486476,-24.908362907682857,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-04-30,4162.098608546697,4164.82789017101,4161.561979999983,4161.561979999983,4384425,,-8.34178967562093,13.970161818864995,-22.311951494485925,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-05-03,4141.5290306346615,4160.462155280896,4141.5290306346615,4157.9568400784965,3444480,,-10.870309008144432,9.00206765346311,-19.87237666160754,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-05-04,4158.184054248189,4184.686332893387,4154.764179302084,4166.010616694761,1005435,,-12.084997997192659,4.784654523331957,-16.869652520524618,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-05-05,4113.112054980144,4136.168986929334,4109.942956037588,4114.297693176386,1139565,,-17.024204089825616,0.4228828007004424,-17.44708689052606,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
2021-05-06,4087.807415362688,4114.056807324119,4087.807415362688,4097.721399431728,4349027,,-22.022269856108323,-4.066147730661311,-17.956122125447013,False,False,0,0,100000.0,0.0,100000.0,0.0,1.0
