date,open,high,low,close,volume,OBV,price_change,OBV_ma,price_ma,price_above_ma,signal,position,strategy_returns,cumulative_returns,benchmark_returns,benchmark_cumulative,drawdown
2021-04-05,4207.055051616816,4237.959501511599,4186.30528036635,4195.763419016809,58047647,0.0,,,,False,-1,0.0,0.0,1.0,,,0.0
2021-04-06,4209.232365543287,4209.232365543287,4163.666269908691,4193.19496672441,36584233,-36584233.0,-2.5684522923993427,,,False,-1,0.0,0.0,1.0,-0.0006121537455515691,0.9993878462544484,0.0
2021-04-07,4255.4772132133685,4255.4772132133685,4217.091366626618,4247.175827854569,51693699,15109466.0,53.98086113015961,,,False,-1,0.0,0.0,1.0,0.01287344412996072,1.0122534098573668,0.0
2021-04-08,4349.2411312993845,4379.187783231388,4315.285309146717,4364.136176876028,52543249,67652715.0,116.96034902145857,,,False,-1,0.0,0.0,1.0,0.027538381682808755,1.0401292306177436,0.0
2021-04-09,4351.896265074788,4369.662143034738,4351.896265074788,4354.528466936051,66509070,1143645.0,-9.607709939977212,,,False,-1,0.0,0.0,1.0,-0.0022015146985754352,1.0378393708281208,0.0
2021-04-12,4344.780312330761,4376.53902588787,4327.836493915902,4344.865315039808,57342877,-56199232.0,-9.663151896243107,,,False,-1,0.0,0.0,1.0,-0.0022191040820184194,1.0355362972438367,0.0
2021-04-13,4473.7231015176885,4509.007427898737,4441.813428369514,4465.700991420317,52330456,-3868776.0,120.83567638050954,,,False,-1,0.0,0.0,1.0,0.027811144332192672,1.0643357466677095,0.0
2021-04-14,4537.099368650536,4544.518473543711,4484.674969794578,4528.020590168061,63642804,59774028.0,62.31959874774384,,,False,-1,0.0,0.0,1.0,0.013955166023760901,1.0791887287174808,0.0
2021-04-15,4491.295004002554,4569.325898683118,4491.295004002554,4501.209013163425,71448766,-11674738.0,-26.811577004636092,,,False,-1,0.0,0.0,1.0,-0.005921257748441655,1.0727985740955315,0.0
2021-04-16,4548.303119148682,4571.491131276379,4499.712110056617,4547.184572361304,59378232,47703494.0,45.97555919787919,,,False,-1,0.0,0.0,1.0,0.010214046729095871,1.0837561888622507,0.0
2021-04-19,4526.846420961343,4529.330966221517,4490.930219930294,4520.644814092214,50742368,-3038874.0,-26.53975826909027,,,False,-1,0.0,0.0,1.0,-0.005836525403082216,1.0774308183352086,0.0
2021-04-20,4513.474872820232,4513.474872820232,4487.084992519135,4493.8481395186855,30918753,-33957627.0,-26.796674573528435,,,False,-1,0.0,0.0,1.0,-0.005927622203362515,1.0710442154938578,0.0
2021-04-21,4527.458060342562,4528.860976282403,4516.107979461023,4517.909370249534,34555869,598242.0,24.061230730848365,,,False,-1,0.0,0.0,1.0,0.005354259864559063,1.0767788645500447,0.0
2021-04-22,4397.075851781626,4397.075851781626,4386.691806266057,4386.691806266057,48412894,-47814652.0,-131.2175639834768,,,False,-1,0.0,0.0,1.0,-0.02904386813235904,1.045505041200342,0.0
2021-04-23,4270.003203419213,4310.602213827385,4268.929653486055,4268.929653486055,43615904,-91430556.0,-117.762152780002,,,False,-1,0.0,0.0,1.0,-0.026845321709582537,1.0174381220203284,0.0
2021-04-26,4252.683808520634,4263.4550360361445,4230.686612214109,4234.764919793904,48002198,-139432754.0,-34.16473369215146,,,False,-1,0.0,0.0,1.0,-0.008003114706809922,1.0092954480227183,0.0
2021-04-27,4173.167605584186,4173.167605584186,4124.962205872213,4168.043877645229,52450524,-191883278.0,-66.72104214867431,,,False,-1,0.0,0.0,1.0,-0.015755548043956513,0.9933934451008498,0.0
2021-04-28,4185.908872070293,4217.874637114502,4173.493176862081,4196.750184608248,58629404,-133253874.0,28.706306963018505,,,False,-1,0.0,0.0,1.0,0.006887237228230925,1.0002351814182289,0.0
2021-04-29,4154.7441985196765,4170.544964068064,4128.417917121464,4137.325602996052,50378822,-183632696.0,-59.42458161219565,,,False,-1,0.0,0.0,1.0,-0.014159666169823004,0.9860721851580344,0.0
