date,type,price
2021-04-28 11:05:33.087549,buy,3093.9256488002175
2021-04-29 11:05:33.087549,sell,3072.933299173946
2021-05-03 11:05:33.087549,buy,3087.920793865072
2021-05-06 11:05:33.087549,sell,3059.1835433872834
2021-05-10 11:05:33.087549,buy,3058.80566422626
2021-05-14 11:05:33.087549,sell,3032.1868107077057
2021-05-18 11:05:33.087549,buy,3081.4151221996985
2021-05-20 11:05:33.087549,sell,3059.5054244622256
2021-05-21 11:05:33.087549,buy,3090.0812483177633
2021-05-24 11:05:33.087549,sell,3057.594067201262
2021-05-31 11:05:33.087549,buy,3015.574482141388
2021-06-03 11:05:33.087549,sell,3020.833304784457
2021-06-08 11:05:33.087549,buy,2952.281295742152
2021-06-11 11:05:33.087549,sell,2950.8016539522473
2021-06-17 11:05:33.087549,buy,2958.0018980221907
2021-06-22 11:05:33.087549,sell,2997.8367340603777
2021-06-23 11:05:33.087549,buy,2990.5318091359727
2021-06-28 11:05:33.087549,sell,3020.1868240890562
2021-07-02 11:05:33.087549,buy,2973.8924200720626
2021-07-09 11:05:33.087549,sell,3035.568711485998
2021-07-12 11:05:33.087549,buy,3046.455852056782
2021-07-15 11:05:33.087549,sell,3139.3278859089287
2021-07-20 11:05:33.087549,buy,3082.24455042833
2021-07-21 11:05:33.087549,sell,3071.829234746866
2021-07-28 11:05:33.087549,buy,3053.9468411359526
2021-07-30 11:05:33.087549,sell,3009.2385090026755
2021-08-03 11:05:33.087549,buy,3016.6192305209547
2021-08-05 11:05:33.087549,sell,3005.0199259978813
2021-08-06 11:05:33.087549,buy,3017.4748760325406
2021-08-11 11:05:33.087549,sell,3018.502889203023
2021-08-18 11:05:33.087549,buy,2950.916287462656
2021-08-20 11:05:33.087549,sell,2935.918860077005
2021-08-25 11:05:33.087549,buy,2859.44228845557
2021-08-26 11:05:33.087549,sell,2832.0433217563764
2021-08-30 11:05:33.087549,buy,2829.6628681456536
2021-09-03 11:05:33.087549,sell,2873.3572127333023
2021-09-09 11:05:33.087549,buy,2867.2321476652464
2021-09-14 11:05:33.087549,sell,2852.5811325386408
2021-09-16 11:05:33.087549,buy,2839.998533150249
2021-09-21 11:05:33.087549,sell,2840.0887699632244
2021-09-22 11:05:33.087549,buy,2873.865691065194
2021-09-23 11:05:33.087549,sell,2827.58067671762
2021-09-27 11:05:33.087549,buy,2894.0204514524344
2021-09-28 11:05:33.087549,sell,2859.164364840053
2021-10-06 11:05:33.087549,buy,2723.7157388076266
2021-10-08 11:05:33.087549,sell,2699.4474590974833
2021-10-11 11:05:33.087549,buy,2735.196333953436
2021-10-12 11:05:33.087549,sell,2707.757405157555
2021-10-14 11:05:33.087549,buy,2708.953870790398
2021-10-15 11:05:33.087549,sell,2669.7099677107585
2021-10-19 11:05:33.087549,buy,2698.850327604474
2021-10-20 11:05:33.087549,sell,2649.6753499194483
2021-10-21 11:05:33.087549,buy,2648.7970592552992
2021-10-26 11:05:33.087549,sell,2626.3493622149836
2021-10-28 11:05:33.087549,buy,2594.2364748490577
2021-11-03 11:05:33.087549,sell,2578.497191210368
2021-11-05 11:05:33.087549,buy,2581.8485350599944
2021-11-08 11:05:33.087549,sell,2558.4629216613157
2021-11-09 11:05:33.087549,buy,2601.2378236502514
2021-11-11 11:05:33.087549,sell,2572.8748848440528
2021-11-12 11:05:33.087549,buy,2585.097769595475
2021-11-15 11:05:33.087549,sell,2555.384709082225
2021-11-16 11:05:33.087549,buy,2571.039250151809
2021-11-18 11:05:33.087549,sell,2570.863791820185
2021-11-19 11:05:33.087549,buy,2591.443625070171
2021-11-25 11:05:33.087549,sell,2650.72211215816
2021-12-02 11:05:33.087549,buy,2576.216352918915
2021-12-14 11:05:33.087549,sell,2680.8433505474572
2021-12-20 11:05:33.087549,buy,2671.586932175651
2021-12-22 11:05:33.087549,sell,2680.064942295589
2021-12-28 11:05:33.087549,buy,2625.4091846079496
2021-12-30 11:05:33.087549,sell,2598.094607863087
2022-01-03 11:05:33.087549,buy,2613.1254175127797
2022-01-04 11:05:33.087549,sell,2590.5350330500687
2022-01-05 11:05:33.087549,buy,2595.1860483673954
2022-01-07 11:05:33.087549,sell,2568.8441418262546
2022-01-10 11:05:33.087549,buy,2579.1962475033306
2022-01-14 11:05:33.087549,sell,2619.2591193177727
2022-01-18 11:05:33.087549,buy,2612.2332506303646
2022-01-25 11:05:33.087549,sell,2801.936211363345
2022-01-26 11:05:33.087549,buy,2832.0365088768704
2022-01-27 11:05:33.087549,sell,2854.047059264406
2022-02-04 11:05:33.087549,buy,2850.9148295113273
2022-02-08 11:05:33.087549,sell,2871.9380157086566
2022-02-14 11:05:33.087549,buy,2883.1444306519834
2022-02-16 11:05:33.087549,sell,2865.005885720955
2022-02-18 11:05:33.087549,buy,2875.4646207544356
2022-02-21 11:05:33.087549,sell,2860.425314156935
2022-02-22 11:05:33.087549,buy,2872.7094166890606
2022-02-24 11:05:33.087549,sell,2867.762352627278
2022-02-25 11:05:33.087549,buy,2935.7747768384143
2022-03-01 11:05:33.087549,sell,2907.789091626266
2022-03-04 11:05:33.087549,buy,2939.2787743809095
2022-03-07 11:05:33.087549,sell,2923.016767974573
2022-03-09 11:05:33.087549,buy,2948.7771261092944
2022-03-11 11:05:33.087549,sell,2953.2541001429845
2022-03-17 11:05:33.087549,buy,2991.858508619357
2022-03-21 11:05:33.087549,sell,2981.4419932230608
2022-03-22 11:05:33.087549,buy,3016.6173796551057
2022-03-25 11:05:33.087549,sell,3089.2223069021857
2022-03-29 11:05:33.087549,buy,3129.557380806106
2022-04-01 11:05:33.087549,sell,3170.1990954624416
2022-04-12 11:05:33.087549,buy,3064.6088425966295
2022-04-13 11:05:33.087549,sell,3028.514972550984
2022-04-15 11:05:33.087549,buy,3034.463114085997
2022-04-19 11:05:33.087549,sell,3049.204377003017
2022-04-20 11:05:33.087549,buy,3092.298032363137
2022-04-22 11:05:33.087549,sell,3077.2511416260973
2022-04-25 11:05:33.087549,buy,3098.9201813260697
2022-04-27 11:05:33.087549,sell,3101.1278761421627
2022-05-02 11:05:33.087549,buy,3116.3291296161788
2022-05-04 11:05:33.087549,sell,3200.973004625381
2022-05-06 11:05:33.087549,buy,3242.8347546856635
2022-05-09 11:05:33.087549,sell,3186.3018917359664
2022-05-11 11:05:33.087549,buy,3213.467052177756
2022-05-13 11:05:33.087549,sell,3215.2695948517385
2022-05-19 11:05:33.087549,buy,3225.155793307233
2022-05-23 11:05:33.087549,sell,3225.619602407667
2022-05-24 11:05:33.087549,buy,3260.1808296585464
2022-05-27 11:05:33.087549,sell,3333.6635290975314
2022-06-01 11:05:33.087549,buy,3326.8535995505094
2022-06-06 11:05:33.087549,sell,3363.924246552481
2022-06-07 11:05:33.087549,buy,3411.1553159349555
2022-06-08 11:05:33.087549,sell,3395.056041018867
2022-06-09 11:05:33.087549,buy,3417.5633671376177
2022-06-10 11:05:33.087549,sell,3414.420223231442
2022-06-14 11:05:33.087549,buy,3451.512440616172
2022-06-20 11:05:33.087549,sell,3567.3383718660275
2022-06-27 11:05:33.087549,buy,3602.546759690404
2022-06-29 11:05:33.087549,sell,3597.6692739064774
2022-06-30 11:05:33.087549,buy,3674.3439004466054
