etf_name,etf_code,total_patterns,effective_patterns,failed_patterns,success_rate,avg_return
沪深300ETF,510300,129,44,85,0.34108527131782945,0.028473691760451694
中证500ETF,510500,128,49,79,0.3828125,0.0372249200514746
创业板ETF,159915,114,51,63,0.4473684210526316,0.045972032953948604
上证50ETF,510050,132,44,88,0.3333333333333333,0.026219860822793085
科创板ETF,588000,107,49,58,0.45794392523364486,0.05028541268187938
中证1000ETF,512100,127,55,72,0.4330708661417323,0.04165438454286636
沪深500ETF,510500,128,49,79,0.3828125,0.0372249200514746
创业板50ETF,159949,111,51,60,0.4594594594594595,0.045777142164389294
红利ETF,510880,129,40,89,0.31007751937984496,0.02636105760100782
证券ETF,512880,97,49,48,0.5051546391752577,0.052470025525840965
