,type,start,end,left_shoulder,head,right_shoulder,first_top,second_top,date,size
0,head_shoulder_top,2022-12-15,2023-03-13,2022-12-29,2023-02-03,2023-02-27,,,,
1,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
2,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
3,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
4,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
5,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
6,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
7,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
8,head_shoulder_top,2024-03-08,2024-05-13,2024-03-22,2024-04-10,2024-04-29,,,,
9,head_shoulder_top,2024-09-24,2024-11-29,2024-10-08,2024-10-29,2024-11-15,,,,
10,head_shoulder_top,2024-09-24,2024-11-29,2024-10-08,2024-10-29,2024-11-15,,,,
11,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
12,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
13,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
14,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
15,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
16,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
17,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
18,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
19,head_shoulder_top,2024-09-30,2024-11-29,2024-10-14,2024-10-29,2024-11-15,,,,
20,head_shoulder_top,2025-07-11,2025-09-12,2025-07-25,2025-08-19,2025-08-29,,,,
21,head_shoulder_top,2025-08-08,2025-10-28,2025-08-22,2025-10-02,2025-10-14,,,,
22,head_shoulder_top,2025-08-08,2025-10-28,2025-08-22,2025-10-02,2025-10-14,,,,
23,head_shoulder_top,2025-08-08,2025-10-28,2025-08-22,2025-10-02,2025-10-14,,,,
24,head_shoulder_top,2025-08-08,2025-10-28,2025-08-22,2025-10-02,2025-10-14,,,,
25,head_shoulder_top,2025-08-08,2025-10-28,2025-08-22,2025-10-02,2025-10-14,,,,
26,head_shoulder_top,2025-08-08,2025-10-28,2025-08-22,2025-10-02,2025-10-14,,,,
27,head_shoulder_top,2025-08-08,2025-10-28,2025-08-22,2025-10-02,2025-10-14,,,,
28,double_top,2021-05-12,2021-07-22,,,,2021-05-19,2021-07-15,,
29,double_top,2021-05-12,2021-07-22,,,,2021-05-19,2021-07-15,,
30,double_top,2021-05-12,2021-07-22,,,,2021-05-19,2021-07-15,,
31,double_top,2021-05-12,2021-07-22,,,,2021-05-19,2021-07-15,,
32,double_top,2021-05-12,2021-07-22,,,,2021-05-19,2021-07-15,,
33,double_top,2021-05-24,2021-07-22,,,,2021-05-31,2021-07-15,,
34,double_top,2022-01-24,2022-03-07,,,,2022-01-31,2022-02-28,,
35,double_top,2022-01-24,2022-03-07,,,,2022-01-31,2022-02-28,,
36,double_top,2022-01-24,2022-03-07,,,,2022-01-31,2022-02-28,,
37,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
38,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
39,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
40,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
41,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
42,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
43,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
44,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
45,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
46,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
47,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
48,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
49,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
50,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
51,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
52,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
53,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
54,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
55,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
56,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
57,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
58,double_top,2022-01-31,2022-03-31,,,,2022-02-07,2022-03-24,,
59,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
60,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
61,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
62,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
63,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
64,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
65,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
66,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
67,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
68,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
69,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
70,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
71,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
72,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
73,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
74,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
75,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
76,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
77,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
78,double_top,2022-03-17,2022-05-13,,,,2022-03-24,2022-05-06,,
79,double_top,2022-03-17,2022-06-14,,,,2022-03-24,2022-06-07,,
80,double_top,2022-03-17,2022-06-14,,,,2022-03-24,2022-06-07,,
81,double_top,2022-06-14,2022-07-15,,,,2022-06-21,2022-07-08,,
82,double_top,2022-07-01,2022-09-22,,,,2022-07-08,2022-09-15,,
83,double_top,2022-07-01,2022-09-22,,,,2022-07-08,2022-09-15,,
84,double_top,2022-07-01,2022-09-22,,,,2022-07-08,2022-09-15,,
85,double_top,2022-07-01,2022-09-22,,,,2022-07-08,2022-09-15,,
86,double_top,2022-07-01,2022-09-22,,,,2022-07-08,2022-09-15,,
87,double_top,2022-07-01,2022-09-22,,,,2022-07-08,2022-09-15,,
88,double_top,2022-07-11,2022-09-22,,,,2022-07-18,2022-09-15,,
89,double_top,2022-07-11,2022-09-22,,,,2022-07-18,2022-09-15,,
90,double_top,2022-07-11,2022-09-22,,,,2022-07-18,2022-09-15,,
91,double_top,2022-09-08,2022-10-21,,,,2022-09-15,2022-10-14,,
92,double_top,2022-09-08,2022-10-21,,,,2022-09-15,2022-10-14,,
93,double_top,2022-09-08,2022-10-21,,,,2022-09-15,2022-10-14,,
94,double_top,2022-09-08,2022-10-21,,,,2022-09-15,2022-10-14,,
95,double_top,2022-09-08,2022-10-21,,,,2022-09-15,2022-10-14,,
96,double_top,2022-09-08,2022-10-21,,,,2022-09-15,2022-10-14,,
97,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
98,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
99,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
100,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
101,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
102,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
103,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
104,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
105,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
106,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
107,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
108,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
109,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
110,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
111,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
112,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
113,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
114,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
115,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
116,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
117,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
118,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
119,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
120,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
121,double_top,2022-11-17,2022-12-20,,,,2022-11-24,2022-12-13,,
122,double_top,2022-11-29,2023-02-10,,,,2022-12-06,2023-02-03,,
123,double_top,2022-11-29,2023-02-10,,,,2022-12-06,2023-02-03,,
124,double_top,2022-11-29,2023-02-10,,,,2022-12-06,2023-02-03,,
125,double_top,2022-11-29,2023-02-10,,,,2022-12-06,2023-02-03,,
126,double_top,2022-11-29,2023-02-10,,,,2022-12-06,2023-02-03,,
127,double_top,2022-12-06,2023-02-10,,,,2022-12-13,2023-02-03,,
128,double_top,2022-12-22,2023-02-10,,,,2022-12-29,2023-02-03,,
129,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
130,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
131,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
132,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
133,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
134,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
135,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
136,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
137,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
138,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
139,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
140,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
141,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
142,double_top,2023-01-27,2023-03-06,,,,2023-02-03,2023-02-27,,
