日期,open,high,low,收盘,volume,amount
2020-01-02,0.666,0.677,0.659,0.673,520027774,348810492
2020-01-03,0.673,0.677,0.666,0.671,392702591,263737459
2020-01-06,0.666,0.686,0.666,0.678,601526929,408165692
2020-01-07,0.678,0.687,0.678,0.686,473290222,322778069
2020-01-08,0.68,0.688,0.674,0.676,547463028,372667065
2020-01-09,0.684,0.698,0.684,0.696,562469162,389195889
2020-01-10,0.698,0.7,0.691,0.695,491968595,342343522
2020-01-13,0.695,0.706,0.688,0.706,563970767,393615409
2020-01-14,0.708,0.71,0.701,0.702,391975232,276953114
2020-01-15,0.702,0.704,0.693,0.701,428613882,299332790
2020-01-16,0.7,0.706,0.698,0.704,307380029,216025838
2020-01-17,0.705,0.71,0.701,0.704,346300141,244306096
2020-01-20,0.705,0.727,0.705,0.724,505902269,362959542
2020-01-21,0.723,0.728,0.714,0.717,508216528,365815910
2020-01-22,0.713,0.74,0.703,0.733,701185294,504641490
2020-01-23,0.726,0.738,0.699,0.711,824150176,591812445
2020-02-03,0.641,0.675,0.641,0.653,1114882840,737203571
2020-02-04,0.66,0.705,0.66,0.703,970863480,669651434
2020-02-05,0.712,0.74,0.707,0.725,1098587684,796015032
2020-02-06,0.719,0.753,0.713,0.749,1350133431,993920106
2020-02-07,0.748,0.756,0.733,0.748,1229535382,916832294
2020-02-10,0.748,0.761,0.744,0.759,998521748,753946680
2020-02-11,0.761,0.763,0.749,0.753,714686150,539248932
2020-02-12,0.751,0.78,0.749,0.778,1358869482,1047937109
2020-02-13,0.778,0.781,0.763,0.77,1085976242,838829662
2020-02-14,0.768,0.785,0.761,0.769,1140646931,882106583
2020-02-17,0.781,0.801,0.78,0.801,1642063723,1297838239
2020-02-18,0.8,0.809,0.792,0.807,1355311096,1088106337
2020-02-19,0.804,0.806,0.787,0.789,1479604664,1176612765
2020-02-20,0.79,0.814,0.787,0.813,1078546646,862698689
2020-02-21,0.809,0.839,0.809,0.828,1176730084,971255872
2020-02-24,0.826,0.846,0.82,0.842,1160478970,968963233
2020-02-25,0.826,0.859,0.805,0.854,1705402893,1426437054
2020-02-26,0.838,0.847,0.806,0.811,1447599977,1194398170
2020-02-27,0.82,0.832,0.801,0.814,1821465360,1486121584
2020-02-28,0.785,0.8,0.765,0.768,2313320453,1807735334
2020-03-02,0.782,0.799,0.77,0.791,1199253659,940997180
2020-03-03,0.815,0.837,0.799,0.81,1303660463,1067381107
2020-03-04,0.804,0.811,0.785,0.806,1060197110,845238156
2020-03-05,0.821,0.824,0.802,0.816,1202811290,977597931
2020-03-06,0.804,0.821,0.8,0.811,766130646,622484021
2020-03-09,0.801,0.802,0.771,0.773,902660884,709695600
2020-03-10,0.773,0.799,0.758,0.799,1107551650,864732147
2020-03-11,0.8,0.803,0.778,0.779,702939323,555614469
2020-03-12,0.767,0.772,0.751,0.76,833812841,634598480
2020-03-13,0.728,0.767,0.715,0.757,1434495804,1067725507
2020-03-16,0.755,0.757,0.705,0.708,1661736441,1213842679
2020-03-17,0.722,0.73,0.685,0.712,1557700114,1101368615
2020-03-18,0.721,0.735,0.697,0.699,1336293888,961184868
2020-03-19,0.7,0.708,0.677,0.702,1883165271,1306342813
2020-03-20,0.71,0.714,0.695,0.711,1144526972,808521686
2020-03-23,0.679,0.698,0.671,0.677,1443733084,987464245
2020-03-24,0.693,0.695,0.668,0.691,1181056880,808553183
2020-03-25,0.708,0.72,0.707,0.719,1647100984,1176716183
2020-03-26,0.712,0.724,0.709,0.718,871460895,626342741
2020-03-27,0.728,0.73,0.708,0.708,961887962,689238225
2020-03-30,0.699,0.7,0.679,0.692,1032137409,711250135
2020-03-31,0.698,0.7,0.69,0.69,608103585,422425611
2020-04-01,0.694,0.706,0.69,0.691,699766201,488359302
2020-04-02,0.689,0.712,0.687,0.712,1220660892,852223858
2020-04-03,0.709,0.715,0.703,0.706,656213995,465255170
2020-04-07,0.722,0.731,0.719,0.73,945308574,685670098
2020-04-08,0.725,0.733,0.724,0.728,553916136,403656820
2020-04-09,0.734,0.744,0.731,0.737,824176507,608783221
2020-04-10,0.738,0.74,0.719,0.722,648877631,472446238
2020-04-13,0.717,0.719,0.709,0.715,469411319,334938318
2020-04-14,0.719,0.74,0.719,0.739,686731981,501498220
2020-04-15,0.741,0.748,0.736,0.738,651952925,484457312
2020-04-16,0.734,0.752,0.733,0.749,621689039,463926521
2020-04-17,0.758,0.766,0.752,0.756,928573615,705229694
2020-04-20,0.758,0.766,0.755,0.765,451058930,343775312
2020-04-21,0.761,0.762,0.745,0.758,621422667,468433416
2020-04-22,0.749,0.763,0.747,0.761,524185084,395596789
2020-04-23,0.764,0.766,0.754,0.758,498188073,378830018
2020-04-24,0.756,0.761,0.743,0.75,1035990668,777919765
2020-04-27,0.75,0.761,0.745,0.758,755628562,571537881
2020-04-28,0.761,0.772,0.739,0.764,905347297,688100634
2020-04-29,0.761,0.774,0.76,0.764,660850083,506784958
2020-04-30,0.769,0.783,0.769,0.782,782658737,608255743
2020-05-06,0.775,0.798,0.774,0.796,872415771,686031060
2020-05-07,0.797,0.798,0.79,0.793,598348935,475120263
