日期,prevclose,open,high,low,收盘,volume,amount
2020-01-02,,3.071,3.1,3.07,3.081,515432997,1589411885
2020-01-03,,3.088,3.09,3.064,3.068,335949392,1033552694
2020-01-06,,3.053,3.082,3.029,3.05,584398594,1788059233
2020-01-07,,3.056,3.074,3.051,3.062,396497844,1213624513
2020-01-08,,3.05,3.053,3.024,3.033,442180042,1343852756
2020-01-09,,3.051,3.063,3.046,3.057,310053452,947161689
2020-01-10,,3.067,3.071,3.052,3.061,245525788,750911285
2020-01-13,,3.063,3.081,3.045,3.08,361624037,1107041065
2020-01-14,,3.085,3.1,3.069,3.076,376813274,1162867642
2020-01-15,,3.073,3.079,3.045,3.046,409759623,1251576036
2020-01-16,,3.055,3.058,3.027,3.036,386871970,1176398396
2020-01-17,,3.041,3.063,3.033,3.042,569829948,1733918311
2020-01-20,,3.056,3.06,3.045,3.058,459768122,1403798600
2020-01-21,,3.04,3.043,3.004,3.007,574211412,1733470136
2020-01-22,,3.0,3.013,2.956,3.006,737727346,2206473244
2020-01-23,,2.982,2.988,2.904,2.925,767631284,2259669968
2020-02-03,,2.695,2.754,2.667,2.707,1562732580,4240677392
2020-02-04,,2.715,2.787,2.71,2.785,817873004,2257436609
2020-02-05,,2.79,2.823,2.77,2.801,674451001,1887652247
2020-02-06,,2.813,2.86,2.8,2.842,479625871,1355467190
2020-02-07,,2.826,2.842,2.811,2.841,382974745,1081348895
2020-02-10,,2.817,2.844,2.81,2.839,467001796,1321198140
2020-02-11,,2.848,2.883,2.843,2.87,362941829,1041562669
2020-02-12,,2.867,2.887,2.852,2.883,266144903,764857498
2020-02-13,,2.883,2.898,2.862,2.869,244340724,703124394
2020-02-14,,2.861,2.89,2.861,2.885,329803160,949425523
2020-02-17,,2.888,2.941,2.886,2.939,437866984,1276703942
2020-02-18,,2.931,2.933,2.903,2.913,360176674,1051016880
2020-02-19,,2.909,2.931,2.905,2.913,356549566,1040185145
2020-02-20,,2.918,2.97,2.906,2.967,684324337,2009605513
2020-02-21,,2.955,2.983,2.949,2.958,366806228,1085537221
2020-02-24,,2.941,2.946,2.909,2.924,438213959,1281840403
2020-02-25,,2.895,2.905,2.862,2.899,658357515,1900506879
2020-02-26,,2.868,2.919,2.861,2.894,713226475,2067002724
2020-02-27,,2.894,2.914,2.892,2.898,381077635,1106765222
2020-02-28,,2.85,2.876,2.806,2.814,695878639,1971727560
2020-03-02,,2.829,2.915,2.829,2.899,570019408,1641373280
2020-03-03,,2.93,2.941,2.9,2.907,564810949,1650452906
2020-03-04,,2.905,2.94,2.903,2.939,394532331,1152619993
2020-03-05,,2.955,3.014,2.946,3.004,792807008,2366716688
2020-03-06,,2.978,2.989,2.95,2.951,493335273,1463182963
2020-03-09,,2.904,2.907,2.856,2.861,786540298,2258974317
2020-03-10,,2.86,2.926,2.841,2.911,955126963,2763644894
2020-03-11,,2.911,2.916,2.873,2.874,546955787,1581385485
