日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2012-05-28,1.671,1.724,1.727,1.664,12775188,3285755328.0,3.72,1.77,0.03,2.9
2012-05-29,1.722,1.764,1.781,1.722,7149490,1875593360.0,3.42,2.32,0.04,1.63
2012-05-30,1.762,1.756,1.767,1.753,2658872,701725792.0,0.79,-0.45,-0.008,0.6
2012-05-31,1.741,1.75,1.765,1.733,1781560,468193104.0,1.82,-0.34,-0.006,0.41
2012-06-01,1.749,1.75,1.78,1.74,1793500,473477200.0,2.29,0.0,0.0,0.41
2012-06-04,1.721,1.678,1.724,1.675,5460743,1413413520.0,2.8,-4.11,-0.072,1.24
2012-06-05,1.682,1.681,1.692,1.676,1271675,326150608.0,0.95,0.18,0.003,0.29
2012-06-06,1.683,1.679,1.694,1.668,1369227,350839408.0,1.55,-0.12,-0.002,0.31
2012-06-07,1.698,1.663,1.703,1.656,3364240,860028336.0,2.8,-0.95,-0.016,0.76
2012-06-08,1.678,1.654,1.68,1.65,2101822,534630032.0,1.8,-0.54,-0.009,0.48
2012-06-11,1.663,1.684,1.697,1.656,2254556,576327104.0,2.48,1.81,0.03,0.51
2012-06-12,1.67,1.668,1.682,1.658,1577237,401878816.0,1.43,-0.95,-0.016,0.36
2012-06-13,1.68,1.705,1.708,1.67,1881336,483872800.0,2.28,2.22,0.037,0.43
2012-06-14,1.7,1.694,1.718,1.691,1525547,394044032.0,1.58,-0.65,-0.011,0.35
2012-06-15,1.702,1.704,1.714,1.677,1598353,411542176.0,2.18,0.59,0.01,0.36
2012-06-18,1.709,1.712,1.728,1.708,1321265,342959056.0,1.17,0.47,0.008,0.3
2012-06-19,1.71,1.693,1.71,1.692,1050117,270933104.0,1.05,-1.11,-0.019,0.24
2012-06-20,1.7,1.69,1.707,1.69,1192774,307520560.0,1.0,-0.18,-0.003,0.27
2012-06-21,1.683,1.65,1.684,1.637,1792242,453655584.0,2.78,-2.37,-0.04,0.41
2012-06-25,1.647,1.6,1.647,1.596,2314811,579443696.0,3.09,-3.03,-0.05,0.53
2012-06-26,1.592,1.6,1.605,1.582,1852289,458451968.0,1.44,0.0,0.0,0.42
2012-06-27,1.598,1.591,1.613,1.59,1513658,375457760.0,1.44,-0.56,-0.009,0.34
2012-06-28,1.6,1.577,1.606,1.575,1695740,418670240.0,1.95,-0.88,-0.014,0.39
2012-06-29,1.571,1.605,1.608,1.568,1972042,486289904.0,2.54,1.78,0.028,0.45
2012-07-02,1.615,1.605,1.615,1.596,1862223,463059440.0,1.18,0.0,0.0,0.42
2012-07-03,1.608,1.609,1.636,1.602,1469031,367051136.0,2.12,0.25,0.004,0.33
2012-07-04,1.614,1.609,1.624,1.604,1103364,275036928.0,1.24,0.0,0.0,0.25
2012-07-05,1.599,1.581,1.599,1.572,2087739,513592304.0,1.68,-1.74,-0.028,0.47
2012-07-06,1.586,1.621,1.632,1.572,1757978,436554832.0,3.8,2.53,0.04,0.4
2012-07-09,1.609,1.571,1.619,1.568,1648643,408098784.0,3.15,-3.08,-0.05,0.37
2012-07-10,1.569,1.561,1.573,1.558,2041960,499158640.0,0.95,-0.64,-0.01,0.46
2012-07-11,1.558,1.572,1.578,1.555,1692976,414092864.0,1.47,0.7,0.011,0.38
2012-07-12,1.566,1.594,1.607,1.557,2660444,655043264.0,3.18,1.4,0.022,0.6
2012-07-13,1.593,1.598,1.616,1.591,1778904,441479104.0,1.57,0.25,0.004,0.4
2012-07-16,1.601,1.558,1.602,1.557,2273611,556372736.0,2.82,-2.5,-0.04,0.52
2012-07-17,1.557,1.563,1.569,1.551,2585328,630134240.0,1.16,0.32,0.005,0.59
2012-07-18,1.561,1.563,1.571,1.526,3152959,766719584.0,2.88,0.0,0.0,0.72
2012-07-19,1.561,1.571,1.593,1.557,3380440,830268784.0,2.3,0.51,0.008,0.77
2012-07-20,1.565,1.553,1.571,1.547,2702978,659710352.0,1.53,-1.15,-0.018,0.61
2012-07-23,1.531,1.523,1.531,1.512,1856885,445845216.0,1.22,-1.93,-0.03,0.42
2012-07-24,1.517,1.528,1.543,1.515,2304237,554385072.0,1.84,0.33,0.005,0.52
2012-07-25,1.52,1.513,1.534,1.51,1389067,333627584.0,1.57,-0.98,-0.015,0.32
2012-07-26,1.515,1.502,1.527,1.5,2548960,610152256.0,1.78,-0.73,-0.011,0.58
2012-07-27,1.509,1.505,1.516,1.497,3724685,888581776.0,1.26,0.2,0.003,0.85
2012-07-30,1.509,1.497,1.519,1.492,2303206,549167616.0,1.79,-0.53,-0.008,0.52
2012-07-31,1.498,1.491,1.505,1.486,4214984,1001090736.0,1.27,-0.4,-0.006,0.96
2012-08-01,1.492,1.509,1.521,1.492,2615556,624664256.0,1.95,1.21,0.018,0.59
2012-08-02,1.506,1.491,1.509,1.479,2087258,495894112.0,1.99,-1.19,-0.018,0.47
2012-08-03,1.495,1.505,1.506,1.488,1737366,412710944.0,1.21,0.94,0.014,0.39
2012-08-06,1.503,1.536,1.54,1.502,3144257,755432640.0,2.52,2.06,0.031,0.71
2012-08-07,1.535,1.539,1.541,1.532,2584404,624693712.0,0.59,0.2,0.003,0.59
2012-08-08,1.543,1.541,1.556,1.536,2329502,564756032.0,1.3,0.13,0.002,0.53
2012-08-09,1.542,1.565,1.568,1.532,2010004,488752016.0,2.34,1.56,0.024,0.46
2012-08-10,1.567,1.558,1.567,1.553,1118701,273056080.0,0.89,-0.45,-0.007,0.25
2012-08-13,1.551,1.512,1.551,1.509,2959366,713474272.0,2.7,-2.95,-0.046,0.67
2012-08-14,1.513,1.508,1.516,1.48,3226022,767577952.0,2.38,-0.26,-0.004,0.73
2012-08-15,1.503,1.486,1.503,1.484,1910110,453117712.0,1.26,-1.46,-0.022,0.43
2012-08-16,1.487,1.479,1.49,1.477,1228663,290402416.0,0.87,-0.47,-0.007,0.28
2012-08-17,1.479,1.469,1.48,1.455,1757265,412189232.0,1.69,-0.68,-0.01,0.4
2012-08-20,1.453,1.456,1.463,1.362,1705062,396240928.0,6.88,-0.88,-0.013,0.39
2012-08-21,1.456,1.465,1.487,1.453,2348894,552081888.0,2.34,0.62,0.009,0.53
2012-08-22,1.467,1.448,1.469,1.443,1298020,302900816.0,1.77,-1.16,-0.017,0.3
