日期,prevclose,开盘,最高,最低,收盘,成交量,成交额
2010-01-04,,2.822,2.832,2.775,2.777,53164968,149144736
2010-01-05,,2.78,2.822,2.755,2.813,68140920,190006736
2010-01-06,,2.813,2.845,2.792,2.808,69182527,195424933
2010-01-07,,2.798,2.812,2.718,2.738,120775344,334114112
2010-01-08,,2.721,2.744,2.699,2.739,83522064,227043936
2010-01-11,,2.835,2.845,2.721,2.741,139225056,385116160
2010-01-12,,2.735,2.784,2.7,2.782,88010674,240989219
2010-01-13,,2.721,2.737,2.666,2.674,128578072,347486400
2010-01-14,,2.687,2.72,2.67,2.71,115097760,309292160
2010-01-15,,2.714,2.736,2.693,2.718,46517492,126133552
2010-01-18,,2.71,2.73,2.7,2.727,66993120,182031232
2010-01-19,,2.736,2.76,2.73,2.732,77476976,212668592
2010-01-20,,2.733,2.75,2.64,2.65,105980032,285212704
2010-01-21,,2.653,2.67,2.638,2.655,112426624,298222592
2010-01-22,,2.625,2.668,2.585,2.654,97439280,255746160
2010-01-25,,2.628,2.654,2.6,2.608,175498496,460442976
2010-01-26,,2.608,2.62,2.535,2.542,102096632,262357152
2010-01-27,,2.545,2.554,2.495,2.507,53429420,135082976
2010-01-28,,2.511,2.518,2.483,2.492,133537176,333614432
2010-01-29,,2.49,2.523,2.478,2.49,62634120,157029504
2010-02-01,,2.486,2.494,2.428,2.449,54271304,133059432
2010-02-02,,2.45,2.493,2.443,2.447,25684508,63462788
2010-02-03,,2.455,2.524,2.418,2.516,66720916,165700816
2010-02-04,,2.495,2.521,2.482,2.504,22887292,57252860
2010-02-05,,2.45,2.465,2.437,2.449,26964516,66016068
2010-02-08,,2.443,2.462,2.436,2.451,15343683,37574596
2010-02-09,,2.449,2.475,2.44,2.464,12396203,30496200
2010-02-10,,2.476,2.495,2.47,2.491,11993132,29753344
2010-02-11,,2.491,2.503,2.48,2.493,24655696,61482212
2010-02-12,,2.496,2.521,2.496,2.519,12351673,31046884
2010-02-22,,2.521,2.532,2.51,2.511,33048152,83380744
2010-02-23,,2.505,2.505,2.465,2.489,13059143,32386584
2010-02-24,,2.474,2.526,2.462,2.522,25447720,63725520
2010-02-25,,2.53,2.556,2.526,2.555,31488976,80156984
2010-02-26,,2.541,2.561,2.532,2.536,25820846,65782160
2010-03-01,,2.537,2.578,2.537,2.571,29118192,74595296
2010-03-02,,2.576,2.587,2.548,2.556,20979820,53829128
2010-03-03,,2.553,2.575,2.546,2.571,30562532,78229920
2010-03-04,,2.566,2.58,2.51,2.513,42450260,107970288
2010-03-05,,2.515,2.534,2.51,2.52,35880044,90480128
2010-03-08,,2.52,2.555,2.519,2.545,29595728,75251240
2010-03-09,,2.537,2.578,2.524,2.558,48177996,122889576
2010-03-10,,2.558,2.577,2.537,2.545,36761536,93998392
2010-03-11,,2.542,2.564,2.527,2.552,23368832,59556440
