日期,开盘,最高,最低,收盘,成交量,成交额
2017-08-03,1.015,1.022,0.999,0.999,252815428,256241188
2017-08-04,1.0,1.005,0.997,0.999,12909310,12934325
2017-08-07,0.999,1.0,0.989,0.995,8029368,7983500
2017-08-08,0.994,0.997,0.991,0.993,4900088,4867036
2017-08-09,0.997,0.997,0.978,0.98,5573400,5487650
2017-08-10,0.98,0.984,0.97,0.976,7053053,6873011
2017-08-11,0.97,0.972,0.954,0.963,6286434,6033416
2017-08-14,0.956,0.968,0.953,0.964,5378967,5148105
2017-08-15,0.964,0.981,0.962,0.973,4292159,4185613
2017-08-16,0.97,0.97,0.963,0.968,1642903,1590339
2017-08-17,0.967,0.969,0.964,0.969,2595200,2508482
2017-08-18,0.962,0.974,0.962,0.97,2670814,2582072
2017-08-21,0.97,0.971,0.965,0.97,2367727,2291589
2017-08-22,0.968,0.975,0.966,0.975,3307406,3215285
2017-08-23,0.975,0.994,0.975,0.987,9212303,9085233
2017-08-24,0.989,1.0,0.987,0.989,10211834,10141897
2017-08-25,0.994,1.02,0.993,1.018,86292528,86957997
2017-08-28,1.02,1.039,1.019,1.026,77712560,79698461
2017-08-29,1.023,1.028,1.018,1.026,18122500,18535927
2017-08-30,1.026,1.036,1.015,1.017,16820300,17228142
2017-08-31,1.018,1.019,1.001,1.009,26494500,26695371
2017-09-01,1.008,1.013,0.999,1.004,16043500,16133331
2017-09-04,1.002,1.01,0.996,1.01,19919700,20016489
2017-09-05,1.01,1.022,1.0,1.018,15795800,16057225
2017-09-06,1.013,1.016,1.009,1.012,5884900,5958620
2017-09-07,1.012,1.014,1.002,1.002,7010716,7066015
2017-09-08,1.001,1.009,1.0,1.003,6217200,6239665
2017-09-11,1.004,1.012,1.002,1.003,8759216,8825926
2017-09-12,1.004,1.005,0.998,1.004,12554316,12560780
2017-09-13,1.003,1.003,0.998,1.002,6201300,6207174
2017-09-14,1.0,1.001,0.991,0.992,11542300,11506079
2017-09-15,0.99,0.992,0.986,0.991,9425700,9314453
2017-09-18,0.988,0.994,0.988,0.991,8470500,8392576
2017-09-19,0.989,0.993,0.983,0.988,15512500,15322250
2017-09-20,0.989,0.992,0.985,0.989,7529600,7451504
2017-09-21,0.99,0.999,0.987,0.994,7963900,7911162
2017-09-22,0.992,1.001,0.992,0.994,7229300,7195524
2017-09-25,0.991,0.998,0.989,0.997,8611600,8554481
2017-09-26,0.996,0.996,0.992,0.993,6410182,6375929
2017-09-27,0.992,0.992,0.984,0.986,18570300,18316045
2017-09-28,0.985,0.987,0.98,0.982,9406010,9236431
2017-09-29,0.981,0.988,0.981,0.987,8327810,8208432
2017-10-09,1.018,1.022,0.996,1.0,22124246,22372001
2017-10-10,0.999,1.003,0.993,1.002,10397146,10376017
2017-10-11,1.001,1.009,1.0,1.004,6392946,6421077
2017-10-12,1.005,1.008,1.003,1.005,10248499,10300548
2017-10-13,1.005,1.006,1.002,1.003,3862425,3877035
2017-10-16,1.003,1.011,1.001,1.009,15529550,15635630
2017-10-17,1.005,1.012,1.005,1.008,5983300,6034409
2017-10-18,1.007,1.013,1.005,1.012,8049330,8125469
2017-10-19,1.011,1.014,1.009,1.011,12184235,12316262
2017-10-20,1.01,1.01,1.006,1.008,3016190,3040746
2017-10-23,1.008,1.008,1.0,1.001,10241100,10277614
2017-10-24,1.0,1.005,0.999,1.003,4758600,4765652
2017-10-25,1.002,1.002,0.999,1.002,2592500,2592599
2017-10-26,1.001,1.001,0.992,0.994,6629300,6596911
2017-10-27,0.995,1.01,0.994,1.01,16255842,16359143
2017-10-30,1.009,1.011,1.004,1.006,5008716,5046122
2017-10-31,1.004,1.004,0.998,0.999,3405916,3405666
2017-11-01,0.999,1.0,0.99,0.993,10045600,9980282
2017-11-02,0.992,0.993,0.985,0.991,6853900,6772076
2017-11-03,0.99,0.993,0.981,0.993,4652500,4591452
2017-11-06,0.99,0.99,0.981,0.984,4263500,4191221
2017-11-07,0.983,0.999,0.983,0.995,6620900,6567501
2017-11-08,0.995,1.004,0.994,0.996,8337400,8336624
2017-11-09,0.997,1.003,0.994,0.996,3724000,3715027
2017-11-10,0.999,0.999,0.986,0.991,9354300,9247255
2017-11-13,0.989,1.014,0.989,1.005,19903900,19999933
2017-11-14,1.004,1.006,0.999,1.0,5461400,5468006
2017-11-15,1.0,1.002,0.996,1.0,3394300,3390712
2017-11-16,1.0,1.0,0.991,0.993,9927100,9859741
2017-11-17,0.993,1.022,0.993,1.021,27519946,27785368
2017-11-20,1.013,1.037,1.013,1.037,19857971,20413516
2017-11-21,1.027,1.055,1.027,1.043,13298571,13904380
2017-11-22,1.046,1.077,1.046,1.065,12443255,13220136
2017-11-23,1.064,1.076,1.043,1.048,14476966,15423009
2017-11-24,1.05,1.064,1.044,1.057,6529955,6872149
2017-11-27,1.057,1.057,1.033,1.045,15229038,15858781
2017-11-28,1.042,1.045,1.028,1.033,8098300,8372916
2017-11-29,1.035,1.039,1.023,1.033,5951700,6125488
2017-11-30,1.03,1.037,1.024,1.03,7094000,7324248
2017-12-01,1.025,1.034,1.018,1.025,8822700,9031666
2017-12-04,1.022,1.028,1.019,1.026,5318025,5451721
2017-12-05,1.026,1.049,1.025,1.043,29325531,30432500
2017-12-06,1.04,1.04,1.024,1.032,5850331,6041289
2017-12-07,1.03,1.03,1.014,1.023,7752300,7925094
2017-12-08,1.022,1.024,1.017,1.022,14602963,14907919
2017-12-11,1.022,1.026,1.012,1.025,8455900,8621798
2017-12-12,1.023,1.024,1.011,1.012,4701000,4784149
2017-12-13,1.012,1.016,1.007,1.015,4803047,4855153
2017-12-14,1.014,1.021,1.01,1.012,6080611,6171474
2017-12-15,1.012,1.012,0.998,0.999,7546064,7566473
2017-12-18,0.997,1.006,0.997,1.004,6885047,6904284
2017-12-19,1.001,1.018,1.001,1.018,5992500,6054864
2017-12-20,1.015,1.02,1.012,1.015,2273000,2306409
2017-12-21,1.015,1.023,1.013,1.019,5096900,5193077
2017-12-22,1.02,1.02,1.013,1.014,2833964,2879401
2017-12-25,1.014,1.022,1.011,1.011,5715200,5820826
2017-12-26,1.015,1.023,1.01,1.022,5273091,5369910
2017-12-27,1.024,1.025,1.007,1.013,4140855,4214802
2017-12-28,1.011,1.014,1.007,1.012,3523600,3560501
2017-12-29,1.012,1.017,1.01,1.017,5018400,5082363
2018-01-02,1.017,1.039,1.017,1.029,11180100,11516181
2018-01-03,1.029,1.039,1.027,1.031,9826809,10160981
2018-01-04,1.032,1.035,1.027,1.03,6208846,6395942
2018-01-05,1.032,1.035,1.027,1.033,8575821,8846021
2018-01-08,1.033,1.033,1.026,1.03,14675900,15090118
2018-01-09,1.029,1.032,1.026,1.029,10824100,11138711
2018-01-10,1.029,1.054,1.027,1.053,17201069,17948468
2018-01-11,1.052,1.061,1.048,1.053,12708800,13408275
2018-01-12,1.053,1.065,1.053,1.058,8630500,9138179
2018-01-15,1.054,1.085,1.054,1.078,13105117,14073727
2018-01-16,1.079,1.083,1.07,1.082,11387564,12244849
2018-01-17,1.083,1.119,1.083,1.092,23609233,25931615
2018-01-18,1.098,1.115,1.097,1.114,34281381,37905259
2018-01-19,1.119,1.147,1.116,1.13,33931276,38369327
2018-01-22,1.119,1.14,1.11,1.115,26559896,29813555
2018-01-23,1.115,1.15,1.115,1.15,41097113,46552951
2018-01-24,1.154,1.178,1.147,1.155,37140700,43150494
2018-01-25,1.15,1.152,1.128,1.146,26282300,29954782
2018-01-26,1.146,1.166,1.142,1.15,26162577,30184424
2018-01-29,1.148,1.167,1.136,1.142,28007334,32206891
2018-01-30,1.136,1.142,1.12,1.12,16365900,18510283
2018-01-31,1.12,1.141,1.111,1.141,16743093,18938491
2018-02-01,1.142,1.156,1.136,1.153,29714094,34027649
2018-02-02,1.152,1.152,1.127,1.146,20064180,22881270
2018-02-05,1.139,1.188,1.132,1.187,37823040,44012714
2018-02-06,1.168,1.179,1.152,1.166,60082040,69977700
2018-02-07,1.179,1.196,1.126,1.132,60533240,70373988
2018-02-08,1.12,1.124,1.076,1.092,40901109,44904781
2018-02-09,1.058,1.071,1.019,1.058,53413740,55720508
2018-02-12,1.05,1.057,1.035,1.045,47886149,50083216
2018-02-13,1.054,1.073,1.052,1.061,19829000,21078818
2018-02-14,1.058,1.065,1.052,1.061,15864700,16825756
2018-02-22,1.079,1.088,1.077,1.085,21818345,23603117
2018-02-23,1.082,1.094,1.08,1.093,19489800,21212721
2018-02-26,1.095,1.105,1.086,1.093,15366000,16817726
2018-02-27,1.093,1.095,1.065,1.072,23525200,25319360
2018-02-28,1.06,1.063,1.051,1.056,21236900,22458023
2018-03-01,1.053,1.065,1.05,1.059,15767100,16688295
2018-03-02,1.055,1.057,1.045,1.05,15419000,16180000
2018-03-05,1.05,1.058,1.043,1.048,13205800,13845677
2018-03-06,1.052,1.056,1.039,1.052,28511474,29871781
2018-03-07,1.058,1.071,1.056,1.057,38782474,41235281
2018-03-08,1.058,1.06,1.048,1.057,15202774,16032153
2018-03-09,1.058,1.063,1.054,1.059,17329800,18323263
2018-03-12,1.061,1.066,1.054,1.055,29393000,31093727
2018-03-13,1.055,1.065,1.052,1.053,29748300,31509671
2018-03-14,1.052,1.053,1.04,1.045,19334800,20186217
2018-03-15,1.043,1.047,1.041,1.044,13936700,14543561
2018-03-16,1.045,1.045,1.033,1.034,15739000,16359481
2018-03-19,1.033,1.037,1.028,1.037,17104500,17677539
2018-03-20,1.033,1.044,1.031,1.042,20818300,21641578
2018-03-21,1.045,1.053,1.04,1.044,24098800,25261905
2018-03-22,1.043,1.047,1.032,1.037,17247100,17875896
2018-03-23,1.015,1.02,1.001,1.011,42555000,42964008
2018-03-26,1.003,1.006,0.982,0.989,22453500,22270253
2018-03-27,0.998,1.002,0.981,0.986,27456400,27204567
2018-03-28,0.985,1.0,0.98,0.986,25678201,25425210
2018-03-29,0.988,1.009,0.976,1.002,40280922,40069984
2018-03-30,1.001,1.003,0.992,0.994,21411300,21341934
2018-04-02,0.993,1.001,0.986,0.986,23047700,22875313
2018-04-03,0.98,0.982,0.974,0.975,32627300,31867306
2018-04-04,0.978,0.985,0.975,0.976,24914100,24428799
2018-04-09,0.975,0.982,0.973,0.978,18726600,18305692
2018-04-10,0.978,1.006,0.976,1.006,54491292,53939298
2018-04-11,1.005,1.026,1.004,1.017,50544020,51308471
2018-04-12,1.012,1.016,1.001,1.002,16309300,16423904
2018-04-13,1.005,1.011,0.995,0.996,14961020,14989967
2018-04-16,0.991,0.996,0.966,0.967,54122400,52784628
2018-04-17,0.971,0.975,0.961,0.963,29738300,28792515
2018-04-18,0.976,0.98,0.965,0.972,50244900,48858830
2018-04-19,0.968,0.983,0.968,0.976,41409000,40466970
2018-04-20,0.975,0.975,0.961,0.966,22598400,21833196
2018-04-23,0.966,0.975,0.963,0.971,38632600,37458051
2018-04-24,0.974,0.996,0.973,0.989,47508700,46877991
2018-04-25,0.985,0.987,0.977,0.979,27882800,27360612
2018-04-26,0.98,0.984,0.968,0.974,35020900,34087328
2018-04-27,0.973,0.978,0.965,0.977,31584700,30741229
2018-05-02,0.986,0.986,0.973,0.977,25122000,24604801
2018-05-03,0.977,0.977,0.965,0.975,24617700,23917408
2018-05-04,0.972,0.973,0.965,0.966,22573564,21864333
2018-05-07,0.966,0.972,0.962,0.972,37391508,36200570
2018-05-08,0.972,0.988,0.971,0.984,50157008,49152670
2018-05-09,0.983,0.985,0.978,0.985,18070000,17734036
2018-05-10,0.982,0.991,0.98,0.986,18209612,17941995
2018-05-11,0.987,0.993,0.983,0.989,36517100,36145478
2018-05-14,0.991,1.004,0.991,0.997,32966900,32900200
2018-05-15,0.999,0.999,0.989,0.994,24432200,24256045
2018-05-16,0.991,0.991,0.981,0.983,27310412,26923790
2018-05-17,0.981,0.984,0.976,0.979,17786000,17427485
2018-05-18,0.976,0.99,0.976,0.99,29509400,29009361
2018-05-21,0.993,0.999,0.989,0.991,21832622,21673732
2018-05-22,0.991,0.991,0.98,0.985,24708300,24294440
2018-05-23,0.983,0.983,0.973,0.974,18771600,18339691
2018-05-24,0.972,0.975,0.966,0.968,24208100,23474232
2018-05-25,0.97,0.971,0.963,0.966,17536400,16953537
2018-05-28,0.967,0.967,0.96,0.964,16983200,16356937
2018-05-29,0.964,0.964,0.951,0.96,38542000,36893273
2018-05-30,0.953,0.953,0.942,0.943,26326900,24938361
2018-05-31,0.947,0.954,0.943,0.951,23386600,22172347
