日期,开盘,最高,最低,收盘,成交量,成交额,prevclose
2017-01-18,0.989,0.989,0.969,0.977,34560460,33817947,
2017-01-19,0.978,0.99,0.978,0.989,25771600,25425534,
2017-01-20,0.989,0.99,0.986,0.988,5098000,5043289,
2017-01-23,0.988,0.989,0.986,0.988,1373900,1356129,
2017-01-24,0.989,0.992,0.987,0.989,1793700,1774398,
2017-01-25,0.99,1.004,0.99,1.001,8407800,8403311,
2017-01-26,1.01,1.01,1.005,1.01,5306400,5349893,1.001
2017-02-03,1.003,1.008,1.0,1.007,3916200,3930904,
2017-02-06,1.009,1.01,1.006,1.009,2608100,2629748,
2017-02-07,1.01,1.023,1.01,1.018,2563700,2607407,
2017-02-08,1.02,1.023,1.017,1.019,985500,1004273,
2017-02-09,1.025,1.033,1.025,1.03,8122120,8371965,
2017-02-10,1.034,1.037,1.032,1.035,9194460,9511312,
2017-02-13,1.041,1.043,1.036,1.042,1678800,1746400,
2017-02-14,1.044,1.049,1.043,1.049,4350000,4551443,
2017-02-15,1.052,1.066,1.049,1.058,3656400,3860855,
2017-02-16,1.061,1.066,1.058,1.06,5184400,5502260,
2017-02-17,1.061,1.069,1.061,1.065,6331200,6745465,
2017-02-20,1.068,1.095,1.068,1.092,6273620,6784231,
2017-02-21,1.102,1.102,1.074,1.077,4508300,4903604,
2017-02-22,1.08,1.092,1.079,1.087,7511300,8150977,
2017-02-23,1.092,1.094,1.087,1.088,3780100,4121671,
2017-02-24,1.087,1.087,1.071,1.075,3341700,3590746,
2017-02-27,1.071,1.071,1.057,1.06,3183860,3377919,
2017-02-28,1.067,1.067,1.061,1.061,1467100,1559117,
2017-03-01,1.062,1.066,1.061,1.064,1589701,1689929,
2017-03-02,1.077,1.081,1.071,1.077,1369820,1473433,
2017-03-03,1.073,1.073,1.062,1.064,2190100,2330404,
2017-03-06,1.064,1.075,1.063,1.065,749100,797675,
2017-03-07,1.065,1.065,1.056,1.061,1110060,1174930,
2017-03-08,1.062,1.065,1.061,1.062,1826400,1940273,
2017-03-09,1.071,1.072,1.069,1.071,1965860,2104309,
2017-03-10,1.07,1.071,1.065,1.071,562000,600878,
2017-03-13,1.071,1.072,1.069,1.071,1750400,1873623,
2017-03-14,1.083,1.086,1.08,1.083,2169200,2348264,
2017-03-15,1.083,1.083,1.078,1.08,546800,590471,
2017-03-16,1.079,1.088,1.079,1.087,1282700,1391156,
2017-03-17,1.095,1.1,1.09,1.096,1608200,1764224,
2017-03-20,1.096,1.114,1.096,1.111,1538600,1704834,
2017-03-21,1.113,1.121,1.113,1.12,1888000,2113540,
2017-03-22,1.091,1.1,1.09,1.093,2812700,3075288,
2017-03-23,1.094,1.098,1.084,1.085,1426200,1552773,
2017-03-24,1.087,1.093,1.087,1.092,1002300,1093404,
2017-03-27,1.092,1.092,1.084,1.085,1205100,1311907,
2017-03-28,1.088,1.099,1.087,1.098,768700,838772,
2017-03-29,1.098,1.114,1.089,1.102,871100,959080,
2017-03-30,1.104,1.108,1.098,1.099,924900,1018721,
2017-03-31,1.099,1.111,1.087,1.107,1249800,1375604,
2017-04-05,1.109,1.115,1.109,1.111,789900,878029,
2017-04-06,1.112,1.115,1.098,1.102,1298300,1434381,
2017-04-07,1.102,1.107,1.097,1.103,1400600,1542121,
2017-04-10,1.103,1.113,1.103,1.109,675000,748917,
2017-04-11,1.111,1.118,1.111,1.113,894500,995337,
2017-04-12,1.113,1.113,1.108,1.11,793200,880497,
2017-04-13,1.11,1.114,1.109,1.111,383900,426262,
2017-04-14,1.111,1.111,1.103,1.107,335700,371385,
2017-04-17,1.1,1.115,1.1,1.106,377400,417111,
2017-04-18,1.112,1.112,1.106,1.109,212500,235642,
2017-04-19,1.109,1.109,1.104,1.105,398500,440279,
2017-04-20,1.105,1.112,1.105,1.111,430500,477374,
2017-04-21,1.118,1.125,1.117,1.125,1209900,1357682,
2017-04-24,1.127,1.144,1.127,1.141,1673400,1899005,
2017-04-25,1.16,1.16,1.146,1.158,1057000,1218296,
2017-04-26,1.166,1.193,1.165,1.186,2378300,2808555,
2017-04-27,1.172,1.185,1.161,1.175,3030100,3530209,
2017-04-28,1.18,1.19,1.175,1.181,1065000,1258058,
2017-05-02,1.181,1.197,1.18,1.187,2484300,2951116,
2017-05-03,1.19,1.192,1.184,1.187,1271500,1510013,
2017-05-04,1.187,1.189,1.171,1.181,2421300,2862023,
2017-05-05,1.181,1.181,1.164,1.167,3377600,3949100,
2017-05-08,1.179,1.194,1.176,1.19,3405000,4047863,
2017-05-09,1.196,1.232,1.193,1.227,7477100,9065837,
2017-05-10,1.224,1.255,1.22,1.231,9825800,12130651,
2017-05-11,1.239,1.24,1.228,1.233,6166100,7610903,
2017-05-12,1.233,1.235,1.227,1.234,5520800,6799505,
2017-05-15,1.241,1.283,1.239,1.269,8341400,10416017,
2017-05-16,1.253,1.256,1.246,1.248,11141600,13932951,
2017-05-17,1.264,1.279,1.261,1.273,14541100,18437140,
2017-05-18,1.242,1.265,1.24,1.256,19642700,24568047,
2017-05-19,1.26,1.26,1.247,1.249,17152900,21459048,
2017-05-22,1.263,1.307,1.263,1.3,18714598,24058127,
2017-05-23,1.319,1.41,1.319,1.338,23989200,32466868,
2017-05-24,1.318,1.32,1.292,1.293,22384200,29181736,
2017-05-25,1.279,1.289,1.268,1.288,24338700,31131626,
2017-05-26,1.289,1.29,1.269,1.271,22382700,28620164,
2017-05-31,1.262,1.262,1.236,1.246,20767900,25922853,
2017-06-01,1.234,1.255,1.215,1.254,15539500,19124109,
2017-06-02,1.272,1.276,1.247,1.252,15069200,19003393,
2017-06-05,1.251,1.257,1.246,1.248,7100599,8873980,
2017-06-06,1.253,1.269,1.253,1.266,9916797,12505597,
2017-06-07,1.257,1.263,1.247,1.253,14189400,17783822,
2017-06-08,1.266,1.276,1.261,1.275,13492599,17134382,
2017-06-09,1.305,1.333,1.305,1.319,20529300,27090350,
2017-06-12,1.279,1.284,1.271,1.281,22127400,28303160,
2017-06-13,1.276,1.279,1.27,1.274,14812800,18875735,
2017-06-14,1.268,1.268,1.26,1.261,11182200,14117754,
2017-06-15,1.253,1.253,1.233,1.24,15036900,18692947,
2017-06-16,1.225,1.239,1.225,1.238,8656360,10678325,
2017-06-19,1.238,1.248,1.236,1.247,7533260,9374504,
2017-06-20,1.278,1.284,1.271,1.274,13624760,17395291,
2017-06-21,1.263,1.27,1.26,1.26,7311000,9248727,
2017-06-22,1.286,1.292,1.272,1.281,13046960,16754829,
2017-06-23,1.282,1.288,1.282,1.288,6792200,8731588,
2017-06-26,1.295,1.305,1.294,1.303,9349600,12139506,
2017-06-27,1.302,1.313,1.296,1.309,10498800,13718947,
2017-06-28,1.288,1.309,1.281,1.296,28917260,37401314,
2017-06-29,1.305,1.305,1.296,1.302,19496000,25363804,
2017-06-30,1.276,1.284,1.276,1.284,18016800,23070658,
2017-07-18,1.328,1.328,1.321,1.322,11724400,15514695,
2017-07-19,1.341,1.368,1.34,1.363,12721000,17216890,
2017-07-20,1.363,1.363,1.346,1.347,15527700,20976933,
2017-07-21,1.346,1.357,1.342,1.356,10505500,14190539,
2017-07-24,1.35,1.361,1.346,1.36,7335100,9961396,
2017-07-25,1.372,1.376,1.368,1.372,9203000,12636139,
2017-07-26,1.372,1.373,1.369,1.371,8898700,12201926,
2017-07-27,1.395,1.41,1.395,1.41,13310900,18630743,
2017-07-28,1.393,1.41,1.385,1.405,16419500,22924807,
2017-07-31,1.426,1.457,1.421,1.455,33691300,48671994,
2017-08-01,1.434,1.465,1.432,1.46,39084700,56588224,
2017-08-02,1.446,1.453,1.438,1.448,30800800,44536970,
2017-08-03,1.41,1.419,1.406,1.407,39607400,55908422,
2017-08-04,1.415,1.425,1.408,1.412,25494700,36096667,
2017-08-07,1.425,1.435,1.42,1.431,19836100,28341676,
2017-08-08,1.458,1.465,1.456,1.459,21352500,31192290,
2017-08-09,1.461,1.464,1.448,1.449,24691300,35922841,
2017-08-10,1.45,1.452,1.439,1.441,14223600,20530825,
2017-08-11,1.393,1.4,1.381,1.39,31338300,43648383,
2017-08-14,1.398,1.432,1.393,1.431,19333200,27403636,
2017-08-15,1.419,1.419,1.399,1.4,29257100,41200271,
2017-08-16,1.405,1.414,1.4,1.402,18253400,25663544,
2017-08-17,1.433,1.433,1.41,1.415,18386400,26097691,
2017-08-18,1.393,1.4,1.392,1.393,16175000,22553487,
2017-08-21,1.399,1.406,1.395,1.399,11119300,15561756,
2017-08-22,1.411,1.425,1.411,1.424,14800700,20983389,
2017-08-23,1.436,1.446,1.428,1.431,11654900,16721890,
2017-08-24,1.441,1.443,1.43,1.43,10172900,14584899,
2017-08-25,1.429,1.433,1.42,1.431,9078800,12960852,
2017-08-28,1.413,1.413,1.403,1.405,20682500,29088471,
2017-08-29,1.383,1.386,1.372,1.385,20081600,27686160,
2017-08-30,1.394,1.399,1.386,1.398,8841400,12315669,
2017-08-31,1.412,1.414,1.405,1.409,8054300,11345549,
2017-09-01,1.412,1.415,1.404,1.407,8067000,11362785,
2017-09-04,1.409,1.411,1.388,1.393,9242800,12877696,
2017-09-05,1.391,1.395,1.39,1.394,6058200,8445836,
2017-09-06,1.387,1.394,1.385,1.394,7919800,10987214,
2017-09-07,1.393,1.393,1.381,1.382,7752200,10737480,
2017-09-08,1.394,1.397,1.392,1.395,8689400,12119363,
2017-09-11,1.389,1.409,1.388,1.408,9856700,13804663,
2017-09-12,1.425,1.429,1.418,1.423,10277300,14616196,
2017-09-13,1.432,1.433,1.426,1.427,9055800,12934146,
2017-09-14,1.44,1.448,1.436,1.447,13534200,19546765,
2017-09-15,1.444,1.45,1.441,1.45,9742500,14072974,
2017-09-18,1.447,1.479,1.442,1.471,12032700,17581526,
2017-09-19,1.484,1.507,1.483,1.5,15758600,23631840,
2017-09-20,1.487,1.506,1.482,1.499,13180200,19675521,
2017-09-21,1.485,1.487,1.478,1.48,16406600,24325953,
2017-09-22,1.465,1.476,1.463,1.476,10205400,14973403,
2017-09-25,1.478,1.484,1.465,1.467,7346900,10827906,
2017-09-26,1.425,1.445,1.423,1.441,13658600,19602908,
2017-09-27,1.434,1.441,1.43,1.439,9086500,13062081,
2017-09-28,1.445,1.453,1.445,1.447,8192400,11870764,
2017-09-29,1.447,1.455,1.445,1.454,5496800,7966932,
2017-10-09,1.488,1.495,1.476,1.478,13407800,19896212,
2017-10-10,1.486,1.49,1.481,1.489,10767900,15995338,
2017-10-11,1.504,1.524,1.497,1.52,14518500,21874820,
2017-10-12,1.521,1.543,1.521,1.534,16890000,25905072,
2017-10-13,1.496,1.508,1.494,1.505,27304400,41005946,
2017-10-16,1.505,1.517,1.504,1.516,25929000,39089330,
2017-10-17,1.533,1.535,1.528,1.534,21337700,32680753,
2017-10-18,1.522,1.531,1.517,1.526,18114300,27642401,
2017-10-19,1.539,1.539,1.529,1.53,22316100,34221720,
2017-10-20,1.506,1.522,1.504,1.519,34866600,52828763,
2017-10-23,1.504,1.513,1.494,1.499,29783500,44749346,
2017-10-24,1.488,1.491,1.482,1.485,25405300,37766252,
2017-10-25,1.485,1.496,1.48,1.495,18333600,27286203,
2017-10-26,1.47,1.473,1.465,1.467,34065200,50067693,
2017-10-27,1.442,1.448,1.439,1.446,37274800,53834040,
2017-10-30,1.455,1.46,1.447,1.458,19118800,27814475,
2017-10-31,1.46,1.46,1.448,1.456,19370900,28157471,
2017-11-01,1.473,1.48,1.468,1.479,21382600,31514573,
2017-11-02,1.482,1.49,1.48,1.489,14118600,20961698,
2017-11-03,1.482,1.492,1.476,1.486,27558900,40940878,
2017-11-06,1.485,1.489,1.465,1.486,27128200,40099082,
2017-11-07,1.505,1.514,1.505,1.512,22628900,34195059,
2017-11-08,1.515,1.52,1.508,1.51,26165700,39601091,
2017-11-09,1.51,1.515,1.506,1.509,16816900,25410913,
2017-11-10,1.508,1.51,1.504,1.506,18823400,28374344,
2017-11-13,1.507,1.507,1.5,1.503,19151300,28792465,
2017-11-14,1.508,1.514,1.502,1.511,18933200,28514175,
2017-11-15,1.494,1.495,1.477,1.482,21342500,31639029,
2017-11-16,1.484,1.49,1.48,1.488,15023900,22323786,
2017-11-17,1.52,1.523,1.516,1.521,27263400,41423744,
2017-11-20,1.537,1.54,1.532,1.539,24823400,38127614,
2017-11-21,1.551,1.574,1.551,1.568,29742130,46598308,
2017-11-22,1.59,1.596,1.57,1.576,20611400,32604189,
2017-11-23,1.576,1.598,1.566,1.57,22773899,36090623,
2017-11-24,1.573,1.579,1.565,1.576,16226699,25510614,
2017-11-27,1.578,1.595,1.578,1.586,21525200,34169400,
2017-11-28,1.563,1.563,1.545,1.549,20898000,32434177,
2017-11-29,1.555,1.558,1.541,1.547,11615050,17977682,
2017-11-30,1.495,1.525,1.495,1.516,27578200,41766666,
2017-12-01,1.498,1.502,1.49,1.492,35011350,52395998,
2017-12-04,1.473,1.502,1.468,1.496,34095500,50549247,
2017-12-05,1.457,1.467,1.45,1.453,41136500,60040984,
2017-12-06,1.447,1.453,1.421,1.426,37515200,53862177,
2017-12-07,1.443,1.457,1.437,1.454,26668500,38616945,
2017-12-08,1.468,1.482,1.466,1.481,26068500,38366474,
2017-12-11,1.482,1.49,1.472,1.488,29605100,43820213,
2017-12-12,1.5,1.505,1.48,1.481,28672400,42871969,
2017-12-13,1.477,1.485,1.467,1.484,22192500,32749990,
2017-12-14,1.505,1.506,1.492,1.494,14690700,21990856,
2017-12-15,1.484,1.484,1.469,1.47,15756100,23274639,
2017-12-18,1.484,1.488,1.48,1.486,20429800,30328851,
2017-12-19,1.508,1.525,1.507,1.521,29352500,44424974,
2017-12-20,1.511,1.515,1.495,1.512,10737300,16215197,
2017-12-21,1.512,1.515,1.508,1.513,10912666,16507241,
2017-12-22,1.528,1.531,1.525,1.526,12504300,19096433,
2017-12-25,1.529,1.53,1.519,1.523,6616100,10074408,
2017-12-26,1.523,1.524,1.517,1.519,7017200,10657505,
2017-12-27,1.508,1.511,1.495,1.499,16393700,24636017,
2017-12-28,1.505,1.511,1.502,1.507,12048600,18143694,
2017-12-29,1.497,1.497,1.49,1.495,13227100,19732586,
2018-01-02,1.495,1.509,1.492,1.507,10335400,15541655,
2018-01-03,1.554,1.556,1.536,1.539,23203200,35855412,
2018-01-04,1.547,1.561,1.54,1.56,24450733,37961991,
2018-01-05,1.564,1.565,1.551,1.552,15371200,23906345,
2018-01-08,1.578,1.59,1.577,1.589,20046300,31732844,
2018-01-09,1.599,1.609,1.599,1.608,18205700,29182298,
2018-01-10,1.611,1.619,1.604,1.616,23850600,38434003,
2018-01-11,1.599,1.599,1.586,1.591,20186800,32133050,
2018-01-12,1.594,1.611,1.592,1.608,43162900,69052256,
2018-01-15,1.611,1.616,1.597,1.6,44606300,71629357,
2018-01-16,1.604,1.613,1.596,1.611,21196444,34098236,
2018-01-17,1.601,1.601,1.588,1.59,32874400,52365914,
2018-01-18,1.6,1.607,1.597,1.601,15140700,24257579,
2018-01-19,1.596,1.601,1.586,1.589,27347900,43597591,
2018-01-22,1.592,1.596,1.589,1.595,20627300,32861204,
2018-01-23,1.593,1.609,1.593,1.608,19761343,31649772,
2018-01-24,1.626,1.631,1.613,1.625,21267300,34499037,
2018-01-25,1.626,1.632,1.62,1.63,23531660,38284000,
2018-01-26,1.631,1.645,1.628,1.641,18443400,30229035,
2018-01-29,1.675,1.678,1.647,1.653,26377900,43798380,
2018-01-30,1.64,1.64,1.627,1.63,20320053,33170384,
2018-01-31,1.601,1.622,1.598,1.611,18608000,29928233,
2018-02-01,1.619,1.625,1.614,1.624,18346400,29708509,
2018-02-02,1.584,1.608,1.573,1.606,30828008,48910662,
2018-02-05,1.537,1.551,1.531,1.547,41386642,64017224,
2018-02-06,1.488,1.49,1.44,1.445,61239394,89657599,
2018-02-07,1.484,1.498,1.452,1.458,53001947,78136520,
2018-02-08,1.455,1.455,1.432,1.443,49536200,71413303,
2018-02-09,1.374,1.385,1.349,1.378,48738800,66727762,
2018-02-12,1.396,1.429,1.393,1.426,16618200,23383682,
2018-02-13,1.457,1.459,1.435,1.44,20965500,30365223,
2018-02-14,1.462,1.485,1.46,1.484,17485206,25716345,
2018-02-22,1.538,1.553,1.538,1.547,29116600,44950702,
2018-02-23,1.552,1.564,1.552,1.557,16784500,26136607,
2018-02-26,1.584,1.586,1.571,1.582,21635600,34172469,
2018-02-27,1.589,1.59,1.567,1.571,18096200,28547983,
2018-02-28,1.534,1.536,1.526,1.532,27233000,41708183,
2018-03-01,1.524,1.551,1.521,1.55,11982010,18485542,
2018-03-02,1.524,1.535,1.519,1.525,16458620,25122943,
2018-03-05,1.528,1.537,1.517,1.52,14696210,22419881,
2018-03-06,1.542,1.55,1.535,1.549,18235600,28100550,
2018-03-07,1.55,1.55,1.521,1.522,51015632,78023796,
2018-03-08,1.542,1.56,1.542,1.559,17809864,27688872,
2018-03-09,1.562,1.576,1.562,1.572,13458300,21143991,
2018-03-12,1.592,1.6,1.592,1.597,15773700,25172440,
2018-03-13,1.6,1.606,1.597,1.599,15253800,24400777,
2018-03-14,1.572,1.572,1.567,1.568,16768800,26314521,
2018-03-15,1.575,1.589,1.575,1.589,14871014,23542897,
2018-03-16,1.61,1.611,1.606,1.609,16154100,25991729,
2018-03-19,1.608,1.616,1.606,1.611,10329514,16658582,
2018-03-20,1.58,1.602,1.576,1.601,12179200,19367431,
2018-03-21,1.61,1.617,1.589,1.592,14721800,23611011,
2018-03-22,1.589,1.592,1.558,1.564,47612700,74693179,
2018-03-23,1.464,1.513,1.458,1.485,53938402,80158988,
2018-03-26,1.465,1.501,1.464,1.5,29919189,44250614,
2018-03-27,1.534,1.538,1.509,1.515,78468039,119086068,
2018-03-28,1.484,1.484,1.464,1.467,54235000,79864281,
2018-03-29,1.435,1.455,1.431,1.452,69639100,100105119,
2018-03-30,1.45,1.453,1.444,1.451,28277900,40944880,
2018-04-02,1.454,1.47,1.448,1.451,18292815,26706333,
2018-04-03,1.419,1.431,1.419,1.424,27705900,39496119,
2018-04-04,1.411,1.416,1.402,1.405,43751400,61701243,
2018-04-09,1.404,1.419,1.391,1.414,19003482,26688878,
2018-04-10,1.42,1.448,1.412,1.446,36335886,51732733,
2018-04-11,1.456,1.456,1.43,1.437,36451942,52600322,
2018-04-12,1.437,1.444,1.422,1.426,18157228,25955732,
2018-04-13,1.433,1.436,1.416,1.428,18024956,25665117,
2018-04-16,1.414,1.414,1.399,1.403,14446882,20292037,
2018-04-17,1.405,1.412,1.388,1.39,31946080,44634124,
2018-04-18,1.42,1.421,1.406,1.415,30055282,42443523,
2018-04-19,1.424,1.431,1.421,1.424,18290240,26065439,
2018-04-20,1.416,1.419,1.402,1.407,12363100,17473497,
