日期,开盘,收盘,最高,最低,成交量,成交额
2018-01-02,4045.21,4087.4,4087.78,4045.21,146935434,178402033664.0
2018-01-03,4091.46,4111.39,4140.05,4088.73,151852219,205726887936.0
2018-01-04,4114.12,4128.81,4137.64,4105.89,134543795,174523555840.0
2018-01-05,4133.34,4138.75,4151.28,4123.28,149009871,185206292480.0
2018-01-08,4140.85,4160.16,4166.32,4127.31,173877665,226403872768.0
2018-01-09,4157.54,4189.3,4191.28,4153.5,139034294,181975080960.0
2018-01-10,4187.2,4207.81,4211.05,4175.14,151121667,194850254848.0
2018-01-11,4197.11,4205.59,4211.8,4181.96,121578540,170407305216.0
2018-01-12,4205.14,4225.0,4227.39,4199.03,111354793,157606211584.0
2018-01-15,4229.84,4225.24,4262.93,4216.36,170907896,234986586112.0
2018-01-16,4215.62,4258.47,4260.21,4213.13,161494963,228271226880.0
2018-01-17,4261.78,4248.12,4283.34,4230.54,214311032,284554358784.0
2018-01-18,4259.38,4271.42,4292.64,4246.68,172032847,225289687040.0
2018-01-19,4281.94,4285.4,4316.57,4269.62,209490570,258554724352.0
2018-01-22,4276.48,4336.6,4338.48,4275.9,174643195,233960222720.0
2018-01-23,4346.89,4382.61,4383.57,4346.79,201867584,257113358336.0
2018-01-24,4389.45,4389.89,4397.82,4349.09,219818890,284470808576.0
2018-01-25,4381.98,4365.08,4392.2,4336.24,195374950,250308091904.0
2018-01-26,4352.22,4381.3,4403.34,4351.49,177227236,223331307520.0
2018-01-29,4387.06,4302.02,4395.91,4287.11,191100355,256176324608.0
2018-01-30,4286.68,4256.1,4308.51,4251.57,139034729,186650566656.0
2018-01-31,4234.11,4275.9,4287.86,4232.77,145210163,194401800192.0
2018-02-01,4276.34,4245.9,4287.39,4214.29,190002934,239230300160.0
2018-02-02,4213.94,4271.23,4271.76,4181.78,146066826,191169867776.0
2018-02-05,4204.46,4274.15,4274.15,4200.14,161347799,217360146432.0
2018-02-06,4182.33,4148.89,4211.52,4131.56,214910451,279415083008.0
2018-02-07,4205.74,4050.5,4212.57,4048.42,203127493,261507026944.0
2018-02-08,4022.88,4012.05,4071.67,3974.68,159269985,199061770240.0
2018-02-09,3896.17,3840.65,3911.29,3759.15,206349829,246774829056.0
2018-02-12,3846.27,3890.1,3907.84,3828.07,116182638,149858041856.0
2018-02-13,3925.6,3935.63,3986.98,3925.6,112565885,144479354880.0
2018-02-14,3945.09,3966.96,3971.4,3923.13,71081339,93110202368.0
2018-02-22,4020.97,4052.73,4058.79,4009.92,105811571,138334363648.0
2018-02-23,4061.75,4071.09,4085.2,4035.23,99458747,128195833856.0
2018-02-26,4093.4,4118.42,4128.74,4048.98,137881001,179013095424.0
2018-02-27,4120.87,4058.98,4120.87,4051.81,125934469,169684901888.0
2018-02-28,4016.79,4023.64,4051.71,3991.71,109343593,152493907968.0
2018-03-01,3994.87,4049.09,4061.03,3986.89,110199852,146003456000.0
2018-03-02,4014.95,4016.46,4044.42,4006.94,96165000,130931179520.0
2018-03-05,4021.66,4018.1,4042.83,3995.87,87952548,118197858304.0
2018-03-06,4034.99,4066.56,4067.55,3998.93,138762445,171370655744.0
2018-03-07,4063.5,4036.65,4089.7,4027.94,106952425,136572305408.0
2018-03-08,4038.95,4077.6,4078.23,4029.71,91155809,123634638848.0
2018-03-09,4088.07,4108.87,4110.67,4076.45,113701809,150024118272.0
2018-03-12,4130.71,4127.67,4139.53,4112.77,140906739,190367592448.0
2018-03-13,4124.33,4091.25,4130.28,4087.56,111766431,141174161408.0
